ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.004789,0.131685,9.766247,0.143401,0.133432,9.804694,-9.77E-4,0.003359,0.203233,4.92,-35.46,-12.9,188.4768,-0.7796,-0.8379,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,24,2021-05-02 18:58:56:653
0.004789,0.131685,9.766247,0.143175,0.13252,9.804709,-3.67E-4,0.003969,0.221559,4.68,-36.24,-11.34,188.4768,-0.7796,-0.8379,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,34,2021-05-02 18:58:56:663
-0.160416,0.174782,9.759064,0.143175,0.13252,9.804709,0.001466,0.001526,0.225224,4.68,-36.24,-11.34,188.4768,-0.7796,-0.8379,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,44,2021-05-02 18:58:56:673
-0.150839,0.165205,9.761458,0.142669,0.132098,9.804723,0.002077,0.007024,0.224002,4.44,-36.66,-11.52,186.4661,-0.7743,-0.8366,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,54,2021-05-02 18:58:56:683
-0.181965,0.076617,9.737515,0.142669,0.132098,9.804723,-3.67E-4,0.002137,0.228279,4.44,-36.66,-11.52,186.4661,-0.7743,-0.8366,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,64,2021-05-02 18:58:56:693
0.002394,0.119714,9.737515,0.141749,0.131445,9.804745,-0.002199,-0.004583,0.252713,4.44,-35.82,-12.9,186.4661,-0.7743,-0.8366,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,74,2021-05-02 18:58:56:703
0.002394,0.119714,9.737515,0.141749,0.131445,9.804745,-9.77E-4,-9.18E-4,0.272872,4.44,-35.82,-12.9,186.4661,-0.7743,-0.8366,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,84,2021-05-02 18:58:56:713
0.148445,0.107742,9.799767,0.142772,0.130869,9.804738,-9.77E-4,0.002748,0.284478,3.78,-35.52,-13.26,186.6672,-0.768,-0.8283,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,94,2021-05-02 18:58:56:723
-0.31365,-0.011971,9.785401,0.142772,0.130869,9.804738,0.001466,-9.18E-4,0.335791,3.78,-35.52,-13.26,186.6672,-0.768,-0.8283,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,104,2021-05-02 18:58:56:733
-0.751802,-0.031126,9.77343,0.143048,0.129878,9.804747,-3.67E-4,3.04E-4,0.441471,3.06,-36.06,-12.96,186.6672,-0.768,-0.8283,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,114,2021-05-02 18:58:56:743
-0.385478,-0.011971,9.783007,0.143048,0.129878,9.804747,-0.00281,-0.002139,0.562422,3.06,-36.06,-12.96,186.6672,-0.768,-0.8283,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,124,2021-05-02 18:58:56:753
-0.385478,-0.011971,9.783007,0.142736,0.12827,9.804772,-0.001588,-0.006415,0.635115,3.18,-36.24,-12.72,185.0873,-0.7588,-0.8359,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,134,2021-05-02 18:58:56:763
0.002394,0.146051,9.749487,0.142736,0.12827,9.804772,-0.002199,0.00458,0.655273,3.18,-36.24,-12.72,185.0873,-0.7588,-0.8359,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,144,2021-05-02 18:58:56:773
0.407027,0.215485,9.766247,0.143224,0.126015,9.804794,-0.00281,0.001526,0.607626,2.4,-36.3,-12.42,185.0873,-0.7588,-0.8359,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,154,2021-05-02 18:58:56:783
0.265765,0.062251,9.77343,0.143224,0.126015,9.804794,-0.00281,0.007635,0.596019,2.4,-36.3,-12.42,185.0873,-0.7588,-0.8359,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,164,2021-05-02 18:58:56:793
0.265765,0.062251,9.77343,0.143812,0.124025,9.804811,-3.67E-4,0.010078,0.592354,1.02,-36.42,-12.6,181.9019,-0.7363,-0.8369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,175,2021-05-02 18:58:56:804
-0.093377,0.057463,9.718362,0.143812,0.124025,9.804811,-3.67E-4,0.010078,0.592354,1.02,-36.42,-12.6,181.9019,-0.7363,-0.8369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,184,2021-05-02 18:58:56:813
-0.055068,0.057463,9.75667,0.14368,0.121743,9.804842,-0.00281,0.006413,0.674821,-0.42,-36.36,-13.08,181.9019,-0.7363,-0.8369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,194,2021-05-02 18:58:56:823
0.447729,0.081405,9.771035,0.14368,0.121743,9.804842,-0.00281,0.006413,0.674821,-0.42,-36.36,-13.08,181.9019,-0.7363,-0.8369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,204,2021-05-02 18:58:56:833
0.282524,-0.01676,9.749487,0.142593,0.119524,9.804885,-0.004032,0.005191,0.656495,-1.62,-35.82,-12.66,177.1096,-0.7113,-0.8396,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,214,2021-05-02 18:58:56:843
0.282524,-0.01676,9.749487,0.142593,0.119524,9.804885,-9.77E-4,0.005802,0.655273,-1.62,-35.82,-12.66,177.1096,-0.7113,-0.8396,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,224,2021-05-02 18:58:56:853
-0.06704,-0.045491,9.77343,0.143335,0.117353,9.804901,-9.77E-4,0.005802,0.655273,-2.22,-36.12,-12.42,177.1096,-0.7113,-0.8396,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,234,2021-05-02 18:58:56:863
-0.052674,0.043097,9.73991,0.143335,0.117353,9.804901,8.55E-4,0.005802,0.685817,-2.22,-36.12,-12.42,177.1096,-0.7113,-0.8396,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,244,2021-05-02 18:58:56:873
-0.155628,0.040703,9.77343,0.143961,0.114767,9.804922,-0.003421,0.003969,0.745681,-2.46,-36.84,-12.36,177.166,-0.6857,-0.8375,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,254,2021-05-02 18:58:56:883
0.217879,0.265765,9.771035,0.143961,0.114767,9.804922,-3.67E-4,0.005802,0.785388,-2.46,-36.84,-12.36,177.166,-0.6857,-0.8375,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,264,2021-05-02 18:58:56:893
0.217879,0.265765,9.771035,0.144056,0.112064,9.804952,-0.003421,9.15E-4,0.767673,-3.42,-35.46,-12.48,177.166,-0.6857,-0.8375,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,274,2021-05-02 18:58:56:903
-0.141262,0.119714,9.751882,0.144056,0.112064,9.804952,-3.67E-4,0.003359,0.795161,-3.42,-35.46,-12.48,177.166,-0.6857,-0.8375,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,284,2021-05-02 18:58:56:913
-0.114925,0.172388,9.804555,0.145671,0.109453,9.804957,-0.00281,0.005802,0.852583,-4.98,-34.74,-12.48,172.1226,-0.6548,-0.8417,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,295,2021-05-02 18:58:56:924
-0.05028,0.158022,9.768641,0.145671,0.109453,9.804957,-0.00281,0.002137,0.864189,-4.98,-34.74,-12.48,172.1226,-0.6548,-0.8417,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,304,2021-05-02 18:58:56:933
0.124502,0.088588,9.744699,0.146855,0.106896,9.804968,0.001466,0.007024,0.881904,-6.18,-34.98,-12.12,172.1226,-0.6548,-0.8417,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,314,2021-05-02 18:58:56:943
0.124502,0.088588,9.744699,0.146855,0.106896,9.804968,-0.00281,0.010078,0.883737,-6.18,-34.98,-12.12,172.1226,-0.6548,-0.8417,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,324,2021-05-02 18:58:56:953
0.105348,0.0838,9.797373,0.147325,0.104246,9.80499,-0.003421,0.003969,0.877017,-7.56,-34.38,-11.82,166.9987,-0.6246,-0.8581,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,334,2021-05-02 18:58:56:963
0.158022,0.095771,9.854836,0.147325,0.104246,9.80499,-0.001588,0.008245,0.862968,-7.56,-34.38,-11.82,166.9987,-0.6246,-0.8581,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,344,2021-05-02 18:58:56:973
0.06704,0.074223,9.73991,0.148843,0.101055,9.805,-0.005253,-3.07E-4,0.867854,-8.88,-33.72,-11.46,166.9987,-0.6246,-0.8581,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,354,2021-05-02 18:58:56:983
0.057463,-0.004789,9.766247,0.148843,0.101055,9.805,-0.002199,0.00458,0.866022,-8.88,-33.72,-11.46,166.9987,-0.6246,-0.8581,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,364,2021-05-02 18:58:56:993
0.057463,-0.004789,9.766247,0.149903,0.0978,9.805017,-0.003421,0.001526,0.870909,-9.96,-33.9,-11.94,163.8418,-0.5714,-0.8759,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,374,2021-05-02 18:58:57:003
0.253793,0.038308,9.766247,0.149903,0.0978,9.805017,-0.004643,-0.001528,0.88557,-9.96,-33.9,-11.94,163.8418,-0.5714,-0.8759,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,385,2021-05-02 18:58:57:014
0.361536,0.086194,9.730332,0.150188,0.094969,9.80504,-0.004643,-0.001528,0.88557,-11.4,-33.54,-11.88,163.8418,-0.5714,-0.8759,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,394,2021-05-02 18:58:57:023
0.122108,0.01676,9.735122,0.150188,0.094969,9.80504,-0.001588,3.04E-4,0.893511,-11.4,-33.54,-11.88,163.8418,-0.5714,-0.8759,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,404,2021-05-02 18:58:57:033
0.210696,0.086194,9.73991,0.151069,0.09201,9.805055,-0.002199,0.012522,0.925887,-11.88,-32.64,-11.16,160.2205,-0.5376,-0.8827,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,414,2021-05-02 18:58:57:043
0.210696,0.086194,9.73991,0.151069,0.09201,9.805055,-9.77E-4,0.003969,0.946045,-11.88,-32.64,-11.16,160.2205,-0.5376,-0.8827,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,424,2021-05-02 18:58:57:053
0.05028,0.055068,9.725544,0.15114,0.088818,9.805083,-0.00281,0.005191,0.960095,-12.54,-32.04,-11.1,160.2205,-0.5376,-0.8827,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,435,2021-05-02 18:58:57:064
-0.167599,0.031126,9.771035,0.15114,0.088818,9.805083,-9.77E-4,0.008245,0.963149,-12.54,-32.04,-11.1,160.2205,-0.5376,-0.8827,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,444,2021-05-02 18:58:57:073
-0.239427,-0.007183,9.797373,0.152088,0.085398,9.805099,-0.003421,0.007635,0.99186,-13.98,-31.68,-10.68,156.5612,-0.5189,-0.8831,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,454,2021-05-02 18:58:57:083
-0.239427,-0.007183,9.797373,0.152088,0.085398,9.805099,2.44E-4,0.008856,1.009575,-13.98,-31.68,-10.68,156.5612,-0.5189,-0.8831,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,464,2021-05-02 18:58:57:093
-0.117319,-0.019154,9.763853,0.152384,0.081654,9.805126,-0.004032,0.006413,1.035842,-15.54,-31.56,-10.26,156.5612,-0.5189,-0.8831,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,474,2021-05-02 18:58:57:103
-0.026337,-0.026337,9.79019,0.152384,0.081654,9.805126,-0.005253,0.005191,1.06272,-15.54,-31.56,-10.26,156.5612,-0.5189,-0.8831,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,487,2021-05-02 18:58:57:116
0.112531,0.107742,9.725544,0.153114,0.077873,9.805145,-0.005253,0.005191,1.06272,-16.56,-31.02,-10.8,151.4329,-0.4771,-0.8904,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,494,2021-05-02 18:58:57:123
0.112531,0.107742,9.725544,0.153114,0.077873,9.805145,-0.006475,0.003969,1.084712,-16.56,-31.02,-10.8,151.4329,-0.4771,-0.8904,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,504,2021-05-02 18:58:57:133
-0.035914,0.06704,9.794978,0.154257,0.073749,9.80516,-0.002199,0.005802,1.110979,-16.74,-30.3,-10.62,151.4329,-0.4771,-0.8904,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,515,2021-05-02 18:58:57:144
0.112531,0.076617,9.835681,0.15433,0.07178,9.805173,-0.001588,0.008245,1.142744,-17.7,-30.06,-10.56,151.4329,-0.4771,-0.8904,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,524,2021-05-02 18:58:57:153
0.270553,0.126897,9.70639,0.15433,0.07178,9.805173,-0.004643,0.01863,1.165957,-17.7,-30.06,-10.56,151.4329,-0.4771,-0.8904,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,534,2021-05-02 18:58:57:163
0.395055,0.114925,9.749487,0.154096,0.067703,9.805205,-0.001588,0.003359,1.1403,-19.02,-29.28,-10.26,146.9208,-0.4194,-0.9017,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,544,2021-05-02 18:58:57:173
0.395055,0.114925,9.749487,0.154096,0.067703,9.805205,-0.004032,0.007024,1.095707,-19.02,-29.28,-10.26,146.9208,-0.4194,-0.9017,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,554,2021-05-02 18:58:57:183
0.488432,0.026337,9.742304,0.153766,0.063456,9.805239,-3.67E-4,0.0113,1.038897,-19.92,-28.44,-10.56,146.9208,-0.4194,-0.9017,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,564,2021-05-02 18:58:57:193
0.265765,-0.141262,9.754275,0.153766,0.063456,9.805239,-0.002199,0.005191,1.028512,-19.92,-28.44,-10.56,146.9208,-0.4194,-0.9017,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,574,2021-05-02 18:58:57:203
0.265765,-0.141262,9.754275,0.153737,0.059507,9.805264,-0.005253,0.013743,1.063331,-21.24,-27.36,-10.5,142.2671,-0.3707,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,584,2021-05-02 18:58:57:213
-0.189148,-0.237033,9.75667,0.153737,0.059507,9.805264,-0.002199,0.007635,1.115866,-21.24,-27.36,-10.5,142.2671,-0.3707,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,594,2021-05-02 18:58:57:223
-0.079011,-0.035914,9.828498,0.153765,0.055479,9.805287,-0.007086,0.002137,1.142133,-22.86,-25.56,-10.32,142.2671,-0.3707,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,604,2021-05-02 18:58:57:233
0.040703,0.153234,9.763853,0.153765,0.055479,9.805287,-0.005864,0.008245,1.165346,-22.86,-25.56,-10.32,142.2671,-0.3707,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,614,2021-05-02 18:58:57:243
-0.028731,0.193936,9.725544,0.153518,0.051267,9.805314,-0.003421,0.010689,1.192835,-24.0,-25.02,-10.5,136.2925,-0.3241,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,624,2021-05-02 18:58:57:253
-0.028731,0.193936,9.725544,0.153518,0.051267,9.805314,-0.003421,0.010689,1.192835,-24.0,-25.02,-10.5,136.2925,-0.3241,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,634,2021-05-02 18:58:57:263
-0.040703,0.124502,9.792584,0.152181,0.046781,9.805358,-0.004032,0.003969,1.211772,-24.3,-25.44,-9.72,136.2925,-0.3241,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,644,2021-05-02 18:58:57:273
0.043097,0.055068,9.677659,0.152181,0.046781,9.805358,-0.005253,0.012522,1.245369,-24.3,-25.44,-9.72,136.2925,-0.3241,-0.8984,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,654,2021-05-02 18:58:57:283
0.134079,0.028731,9.775824,0.151217,0.042204,9.805393,-0.003421,0.007635,1.253921,-24.96,-24.3,-8.94,133.9409,-0.2733,-0.8892,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,664,2021-05-02 18:58:57:293
0.210696,0.090982,9.696813,0.150894,0.03998,9.805408,-0.00281,0.010078,1.254532,-25.5,-23.58,-9.12,133.9409,-0.2733,-0.8892,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,674,2021-05-02 18:58:57:303
0.210696,0.090982,9.696813,0.150894,0.03998,9.805408,-0.004032,0.007024,1.246591,-25.5,-23.58,-9.12,133.9409,-0.2733,-0.8892,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,684,2021-05-02 18:58:57:313
0.356747,0.107742,9.850046,0.151204,0.035893,9.805419,-0.003421,0.002137,1.223378,-26.16,-22.32,-9.0,133.9409,-0.2733,-0.8892,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,694,2021-05-02 18:58:57:323
0.34717,0.06704,9.545974,0.151204,0.035893,9.805419,-0.003421,0.002137,1.223378,-26.16,-22.32,-9.0,133.9409,-0.2733,-0.8892,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,704,2021-05-02 18:58:57:333
0.237033,0.007183,9.766247,0.150753,0.032732,9.805437,-0.004032,-0.027185,1.197111,-26.76,-21.42,-8.88,127.9756,-0.2097,-0.8835,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,714,2021-05-02 18:58:57:343
0.237033,0.007183,9.766247,0.150079,0.030561,9.805454,-0.004643,0.012522,1.204441,-27.06,-21.06,-8.88,127.9756,-0.2097,-0.8835,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,724,2021-05-02 18:58:57:353
0.179571,-0.009577,9.725544,0.150079,0.030561,9.805454,-0.003421,0.005191,1.206274,-27.06,-21.06,-8.88,127.9756,-0.2097,-0.8835,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,734,2021-05-02 18:58:57:363
0.122108,-0.035914,9.742304,0.148981,0.026108,9.805484,-0.004032,0.009467,1.204441,-27.48,-19.74,-8.52,127.9756,-0.2097,-0.8835,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,744,2021-05-02 18:58:57:373
0.057463,-0.043097,9.823709,0.148981,0.026108,9.805484,-0.00281,0.002748,1.207496,-27.48,-19.74,-8.52,127.9756,-0.2097,-0.8835,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,754,2021-05-02 18:58:57:383
-0.026337,-0.004789,9.759064,0.148285,0.022498,9.805503,-0.004032,0.007635,1.219102,-28.62,-19.2,-8.4,123.314,-0.1525,-0.8705,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,764,2021-05-02 18:58:57:393
-0.026337,-0.004789,9.759064,0.147787,0.020363,9.805515,-0.004643,0.0113,1.231319,-28.62,-19.2,-8.4,123.314,-0.1525,-0.8705,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,774,2021-05-02 18:58:57:403
0.064645,0.035914,9.670476,0.147787,0.020363,9.805515,-0.001588,-0.005194,1.24598,-29.58,-17.7,-9.24,123.314,-0.1525,-0.8705,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,784,2021-05-02 18:58:57:413
0.112531,0.057463,9.725544,0.146636,0.016042,9.805541,-0.004032,0.016187,1.256976,-29.4,-17.16,-9.24,123.314,-0.1525,-0.8705,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,794,2021-05-02 18:58:57:423
0.26337,0.014366,9.763853,0.146636,0.016042,9.805541,-0.007086,0.014354,1.262473,-29.4,-17.16,-9.24,123.314,-0.1525,-0.8705,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,804,2021-05-02 18:58:57:433
0.26337,0.014366,9.763853,0.141729,0.01243,9.805618,-0.003421,0.007635,1.245369,-30.0,-16.08,-8.46,118.1497,-0.0937,-0.8568,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,814,2021-05-02 18:58:57:443
0.33041,0.026337,9.794978,0.141729,0.01243,9.805618,-0.006475,0.012522,1.234374,-30.0,-16.08,-8.46,118.1497,-0.0937,-0.8568,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,824,2021-05-02 18:58:57:453
0.31365,0.043097,9.73991,0.146168,0.010596,9.805554,-9.77E-4,0.002748,1.215437,-30.84,-15.18,-7.5,118.1497,-0.0937,-0.8568,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,834,2021-05-02 18:58:57:463
0.134079,0.05028,9.766247,0.146168,0.010596,9.805554,-0.004032,0.00458,1.225821,-30.84,-15.18,-7.5,118.1497,-0.0937,-0.8568,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,844,2021-05-02 18:58:57:473
0.22985,0.031126,9.754275,0.156369,0.009484,9.805399,-0.003421,0.013132,1.23865,-30.78,-13.86,-7.62,114.3758,-0.0619,-0.854,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,854,2021-05-02 18:58:57:483
0.22985,0.031126,9.754275,0.156369,0.009484,9.805399,-0.004032,0.008245,1.244758,-30.78,-13.86,-7.62,114.3758,-0.0619,-0.854,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,865,2021-05-02 18:58:57:494
0.234639,0.011971,9.629773,0.163569,0.008859,9.805282,-0.004032,0.008245,1.244758,-30.9,-12.66,-8.4,114.3758,-0.0619,-0.854,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,874,2021-05-02 18:58:57:503
0.282524,0.021548,9.751882,0.163569,0.008859,9.805282,-9.77E-4,0.001526,1.237428,-30.9,-12.66,-8.4,114.3758,-0.0619,-0.854,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,884,2021-05-02 18:58:57:513
0.222668,-0.007183,9.749487,0.173722,0.007388,9.805109,-0.004643,0.007024,1.230098,-31.5,-11.64,-8.28,111.2349,-0.0518,-0.9557,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,894,2021-05-02 18:58:57:523
0.222668,-0.007183,9.749487,0.173722,0.007388,9.805109,-0.005864,0.003969,1.236206,-31.5,-11.64,-8.28,111.2349,-0.0518,-0.9557,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,904,2021-05-02 18:58:57:533
0.165205,0.057463,9.799767,0.184423,0.004936,9.804914,-0.005253,0.023517,1.236817,-31.8,-10.86,-7.8,111.2349,-0.0518,-0.9557,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,914,2021-05-02 18:58:57:543
0.208302,-0.021548,9.680053,0.184423,0.004936,9.804914,-0.005864,3.04E-4,1.234984,-31.8,-10.86,-7.8,111.2349,-0.0518,-0.9557,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,925,2021-05-02 18:58:57:554
0.107742,-0.028731,9.718362,0.190135,0.002319,9.804807,2.44E-4,0.002748,1.230098,-31.92,-10.14,-7.02,107.418,-0.0288,-1.0776,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,934,2021-05-02 18:58:57:563
0.107742,-0.028731,9.718362,0.190135,0.002319,9.804807,-9.77E-4,-0.001528,1.236206,-32.34,-9.96,-7.14,107.418,-0.0288,-1.0776,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,944,2021-05-02 18:58:57:573
0.007183,-0.023943,9.833286,0.193361,-4.06E-4,9.804744,-0.00281,0.010078,1.293017,-32.34,-9.96,-7.14,107.418,-0.0288,-1.0776,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,954,2021-05-02 18:58:57:583
-0.069434,-0.031126,9.689631,0.193361,-4.06E-4,9.804744,-0.001588,0.013132,1.366321,-33.24,-9.42,-7.44,107.418,-0.0288,-1.0776,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,964,2021-05-02 18:58:57:593
-0.055068,-0.031126,9.785401,0.182432,-0.005274,9.804952,-0.001588,0.010689,1.403583,-33.84,-8.76,-7.68,104.8959,0.0024,-1.1298,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,974,2021-05-02 18:58:57:603
-0.035914,-0.043097,9.742304,0.182432,-0.005274,9.804952,-0.001588,0.010689,1.403583,-33.84,-8.76,-7.68,104.8959,0.0024,-1.1298,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,984,2021-05-02 18:58:57:613
-0.035914,-0.043097,9.742304,0.179684,-0.01074,9.804997,-0.001588,0.010078,1.438403,-34.14,-7.5,-6.84,104.8959,0.0024,-1.1298,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,994,2021-05-02 18:58:57:623
0.107742,0.069434,9.696813,0.179684,-0.01074,9.804997,2.44E-4,-0.002139,1.435959,-34.14,-7.5,-6.84,104.8959,0.0024,-1.1298,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1004,2021-05-02 18:58:57:633
0.320833,0.071828,9.701602,0.178291,-0.015987,9.805017,-0.00281,-0.00275,1.41519,-34.14,-6.48,-5.7,100.0533,0.0628,-1.0499,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1014,2021-05-02 18:58:57:643
0.476461,0.076617,9.754275,0.178291,-0.015987,9.805017,-0.002199,0.00458,1.39381,-34.14,-6.48,-5.7,100.0533,0.0628,-1.0499,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1026,2021-05-02 18:58:57:655
0.531529,0.079011,9.749487,0.177465,-0.021423,9.805021,-0.001588,0.002748,1.35899,-34.2,-6.3,-6.18,100.0533,0.0628,-1.0499,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1035,2021-05-02 18:58:57:664
0.531529,0.079011,9.749487,0.177465,-0.021423,9.805021,-0.005253,0.002137,1.300347,-34.2,-6.3,-6.18,100.0533,0.0628,-1.0499,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1044,2021-05-02 18:58:57:673
0.605752,0.081405,9.75667,0.176341,-0.026635,9.805028,-0.005253,0.003359,1.249034,-33.66,-5.64,-6.6,100.0735,0.1252,-1.0369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1054,2021-05-02 18:58:57:683
0.555472,0.03352,9.732727,0.176341,-0.026635,9.805028,-9.77E-4,0.02535,1.21055,-33.66,-5.64,-6.6,100.0735,0.1252,-1.0369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1064,2021-05-02 18:58:57:693
0.471672,0.05028,9.689631,0.175814,-0.031436,9.805023,-9.77E-4,0.02535,1.21055,-33.84,-5.16,-6.36,100.0735,0.1252,-1.0369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1074,2021-05-02 18:58:57:703
0.502798,0.079011,9.766247,0.175814,-0.031436,9.805023,2.44E-4,3.04E-4,1.183672,-33.84,-5.16,-6.36,100.0735,0.1252,-1.0369,55.81407,37.500393,210.7,NaN,,13.031,,0 / 2,,1084,2021-05-02 18:58:57:713
