ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.253793,0.459701,9.438231,-0.304306,0.088024,9.801533,0.019113,0.037668,0.01142,8.46,-3.12,-40.86,248.3145,-0.4751,1.8336,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,7,2021-05-04 15:50:52:821
-0.253793,0.459701,9.438231,-0.310063,0.094727,9.80129,-0.033421,0.051107,0.001646,7.92,-3.48,-40.2,248.3145,-0.4751,1.8336,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,18,2021-05-04 15:50:52:832
-0.375901,0.464489,9.340066,-0.310063,0.094727,9.80129,-0.100005,0.038279,-0.002019,7.92,-3.48,-40.2,248.3145,-0.4751,1.8336,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,27,2021-05-04 15:50:52:841
-0.452518,0.404632,9.404712,-0.318942,0.085447,9.80109,-0.139712,0.013845,0.005311,8.28,-3.3,-39.42,248.8166,-0.5535,1.8119,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,37,2021-05-04 15:50:52:851
-0.387873,0.251399,9.526819,-0.318942,0.085447,9.80109,-0.180029,-0.013033,0.015696,8.28,-3.3,-39.42,248.8166,-0.5535,1.8119,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,47,2021-05-04 15:50:52:861
-0.430969,0.158022,9.591465,-0.319104,0.055293,9.801301,-0.198966,-0.044798,0.015085,8.34,-3.24,-39.12,248.8166,-0.5535,1.8119,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,58,2021-05-04 15:50:52:872
-0.430969,0.158022,9.591465,-0.319104,0.055293,9.801301,-0.198966,-0.098555,0.016918,8.34,-3.24,-39.12,248.8166,-0.5535,1.8119,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,67,2021-05-04 15:50:52:881
-0.354353,0.040703,9.732727,-0.30657,0.017832,9.801841,-0.186748,-0.113215,0.015085,8.46,-3.48,-39.84,247.4981,-0.3231,1.8647,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,78,2021-05-04 15:50:52:892
-0.332804,-0.081405,10.015251,-0.30657,0.017832,9.801841,-0.159259,-0.110161,0.009588,8.46,-3.48,-39.84,247.4981,-0.3231,1.8647,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,88,2021-05-04 15:50:52:902
-0.308861,0.011971,10.094262,-0.285132,-0.016056,9.80249,-0.115888,-0.072287,0.021194,8.58,-3.42,-40.32,247.4981,-0.3231,1.8647,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,98,2021-05-04 15:50:52:912
-0.225062,0.10056,9.996098,-0.285132,-0.016056,9.80249,-0.107947,-0.017309,0.023027,8.58,-3.42,-40.32,247.4981,-0.3231,1.8647,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,108,2021-05-04 15:50:52:922
-0.225062,0.10056,9.996098,-0.273467,-0.03849,9.802761,-0.114055,0.026062,0.018751,8.04,-3.24,-40.26,245.837,0.0938,1.6661,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,118,2021-05-04 15:50:52:932
-0.339987,0.186753,9.885961,-0.273467,-0.03849,9.802761,-0.11772,0.037058,0.015696,8.04,-3.24,-40.26,245.837,0.0938,1.6661,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,127,2021-05-04 15:50:52:941
-0.390267,0.205908,9.70639,-0.278881,-0.060393,9.802498,-0.11711,0.019953,0.014474,7.8,-2.7,-39.78,245.837,0.0938,1.6661,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,137,2021-05-04 15:50:52:951
-0.36393,0.244216,9.471751,-0.278881,-0.060393,9.802498,-0.112223,-0.045409,-0.002019,7.8,-2.7,-39.78,245.837,0.0938,1.6661,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,147,2021-05-04 15:50:52:961
-0.36393,0.244216,9.471751,-0.278625,-0.082522,9.802343,-0.11772,-0.118713,-0.014847,8.34,-2.16,-39.72,251.8573,0.3529,1.6296,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,157,2021-05-04 15:50:52:971
-0.450124,0.282524,9.522031,-0.278625,-0.082522,9.802343,-0.11711,-0.223171,-0.025232,8.34,-2.16,-39.72,251.8573,0.3529,1.6296,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,168,2021-05-04 15:50:52:982
-0.426181,0.256187,9.854836,-0.252587,-0.104982,9.802835,-0.098784,-0.32824,-0.036227,8.52,-2.16,-40.38,251.8573,0.3529,1.6296,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,177,2021-05-04 15:50:52:991
-0.512375,0.110137,10.606637,-0.252587,-0.104982,9.802835,-0.041362,-0.440028,-0.03806,8.52,-2.16,-40.38,251.8573,0.3529,1.6296,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,187,2021-05-04 15:50:53:001
-0.512375,0.110137,10.606637,-0.185801,-0.122248,9.804128,0.096693,-0.467517,-0.023399,7.8,-2.16,-39.54,250.7708,0.6134,1.476,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,197,2021-05-04 15:50:53:011
-0.29689,-0.079011,11.016058,-0.185801,-0.122248,9.804128,0.132123,-0.311136,-0.022788,7.8,-2.16,-39.54,250.7708,0.6134,1.476,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,207,2021-05-04 15:50:53:021
-0.047885,-0.225062,10.589877,-0.096704,-0.107143,9.805588,0.085087,-0.132152,-0.003241,7.8,-2.04,-39.42,250.7708,0.6134,1.476,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,218,2021-05-04 15:50:53:032
-0.021548,-0.062251,9.960183,-0.096704,-0.107143,9.805588,-0.054801,0.053551,0.046239,7.8,-2.04,-39.42,250.7708,0.6134,1.476,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,228,2021-05-04 15:50:53:042
0.289707,0.069434,9.249084,-0.070193,-0.091951,9.805968,-0.246613,0.165339,0.063344,7.98,-2.28,-40.38,252.2274,0.626,0.565,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,238,2021-05-04 15:50:53:052
0.289707,0.069434,9.249084,-0.070193,-0.091951,9.805968,-0.424986,0.164728,0.058457,7.98,-2.28,-40.38,252.2274,0.626,0.565,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,247,2021-05-04 15:50:53:061
0.294496,0.306467,9.047964,-0.098582,-0.134663,9.80523,-0.561819,0.186109,0.0328,7.44,-2.46,-40.14,252.2274,0.626,0.565,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,257,2021-05-04 15:50:53:071
0.493221,0.715888,9.268238,-0.098582,-0.134663,9.80523,-0.638178,0.228869,-0.03073,7.44,-2.46,-40.14,252.2274,0.626,0.565,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,267,2021-05-04 15:50:53:081
0.488432,0.770957,9.519637,-0.134525,-0.239698,9.802797,-0.638178,0.228869,-0.03073,7.38,-1.86,-39.96,248.8678,0.7868,0.576,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,277,2021-05-04 15:50:53:091
0.21309,0.421392,9.720756,-0.134525,-0.239698,9.802797,-0.635123,0.217874,-0.102201,7.38,-1.86,-39.96,248.8678,0.7868,0.576,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,287,2021-05-04 15:50:53:101
0.21309,0.421392,9.720756,-0.17727,-0.363638,9.798303,-0.569761,0.170837,-0.131522,7.5,-0.78,-40.44,248.8678,0.7868,0.576,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,298,2021-05-04 15:50:53:112
-0.119714,-0.095771,9.792584,-0.191982,-0.417,9.795899,-0.493403,0.117692,-0.128468,7.56,-0.78,-39.9,248.8678,0.7868,0.576,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,307,2021-05-04 15:50:53:121
-0.658426,-0.529135,9.96976,-0.191982,-0.417,9.795899,-0.401773,-0.002038,-0.042947,7.56,-0.78,-39.9,248.8678,0.7868,0.576,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,317,2021-05-04 15:50:53:131
-0.708705,-0.866727,10.180456,-0.200511,-0.501784,9.791751,-0.310143,-0.057627,0.049294,7.92,-0.3,-40.02,256.6869,2.4371,1.1228,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,327,2021-05-04 15:50:53:141
-0.06704,-0.517163,9.696813,-0.200511,-0.501784,9.791751,-0.286319,-0.051518,0.098163,7.92,-0.3,-40.02,256.6869,2.4371,1.1228,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,337,2021-05-04 15:50:53:151
-0.06704,-0.517163,9.696813,-0.190562,-0.558955,9.788853,-0.339465,-0.049074,0.067009,8.22,-0.54,-40.2,256.6869,2.4371,1.1228,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,347,2021-05-04 15:50:53:161
0.217879,-0.035914,9.713573,-0.190562,-0.558955,9.788853,-0.437814,0.026673,-0.008128,8.22,-0.54,-40.2,256.6869,2.4371,1.1228,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,358,2021-05-04 15:50:53:172
0.572232,0.203513,9.996098,-0.18629,-0.632229,9.784476,-0.459194,0.170837,-0.067381,7.98,-0.24,-40.26,252.4141,3.2675,1.1153,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,368,2021-05-04 15:50:53:182
0.572232,0.203513,9.996098,-0.18629,-0.632229,9.784476,-0.421931,0.209322,-0.125414,7.98,-0.24,-40.26,252.4141,3.2675,1.1153,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,377,2021-05-04 15:50:53:191
0.275342,0.028731,9.596253,-0.217489,-0.719487,9.777802,-0.421931,0.209322,-0.125414,7.62,0.6,-40.68,252.4141,3.2675,1.1153,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,387,2021-05-04 15:50:53:201
-0.019154,-0.299284,9.37598,-0.217489,-0.719487,9.777802,-0.417655,0.184887,-0.147405,7.62,0.6,-40.68,252.4141,3.2675,1.1153,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,397,2021-05-04 15:50:53:211
-0.260976,-0.569837,9.289786,-0.251605,-0.800512,9.770684,-0.439036,0.163507,-0.138242,7.44,1.02,-40.38,252.3126,4.2074,1.2742,55.814007,37.500294,202.9318,NaN,0.0,6.0,,23 / 24,,407,2021-05-04 15:50:53:221
-0.260976,-0.569837,9.289786,-0.251605,-0.800512,9.770684,-0.474466,0.119524,-0.109531,7.44,1.02,-40.38,252.3126,4.2074,1.2742,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,417,2021-05-04 15:50:53:231
-0.854756,-0.687157,9.603436,-0.274724,-0.890213,9.762297,-0.483018,0.113416,-0.071047,8.28,1.02,-40.32,252.3126,4.2074,1.2742,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,427,2021-05-04 15:50:53:241
-0.854756,-0.687157,9.603436,-0.274724,-0.890213,9.762297,-0.483018,0.113416,-0.071047,8.28,1.02,-40.32,252.3126,4.2074,1.2742,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,438,2021-05-04 15:50:53:252
-0.703917,-0.7111,9.91948,-0.286111,-0.936874,9.757603,-0.480574,0.149457,0.001646,8.52,0.84,-40.62,250.6944,5.2083,1.612,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,448,2021-05-04 15:50:53:262
-0.521952,-0.92419,10.000886,-0.286111,-0.936874,9.757603,-0.401162,-0.051518,-0.057608,8.52,0.84,-40.62,250.6944,5.2083,1.612,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,459,2021-05-04 15:50:53:273
-0.521952,-0.92419,10.000886,-0.330104,-1.073087,9.742171,-0.401162,-0.051518,-0.057608,8.64,2.04,-39.96,250.6944,5.2083,1.612,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,467,2021-05-04 15:50:53:281
-0.69434,-1.680781,9.73991,-0.330104,-1.073087,9.742171,-0.359012,-0.06007,-0.063105,8.64,2.04,-39.96,250.6944,5.2083,1.612,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,477,2021-05-04 15:50:53:291
-1.161223,-1.728666,9.830893,-0.315916,-1.143606,9.734616,-0.368786,-0.06679,0.01142,8.76,2.34,-39.24,253.2444,6.2821,1.9407,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,487,2021-05-04 15:50:53:301
-1.161223,-1.728666,9.830893,-0.315916,-1.143606,9.734616,-0.33641,-0.110772,0.122598,8.76,2.34,-39.24,253.2444,6.2821,1.9407,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,497,2021-05-04 15:50:53:311
-0.888276,-1.230657,9.957788,-0.300645,-1.211113,9.726932,-0.298537,-0.154143,0.142145,8.4,2.52,-39.66,253.2444,6.2821,1.9407,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,507,2021-05-04 15:50:53:321
-0.158022,-0.876305,9.821315,-0.300645,-1.211113,9.726932,-0.214237,-0.157198,0.067009,8.4,2.52,-39.66,253.2444,6.2821,1.9407,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,518,2021-05-04 15:50:53:332
-0.158022,-0.876305,9.821315,-0.273875,-1.261529,9.721313,-0.142155,-0.153532,0.024859,8.1,2.88,-39.78,253.5891,7.0941,1.7704,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,527,2021-05-04 15:50:53:341
-0.198725,-1.031932,9.842864,-0.273875,-1.261529,9.721313,-0.078625,-0.118713,0.027303,8.1,2.88,-39.78,253.5891,7.0941,1.7704,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,538,2021-05-04 15:50:53:352
-0.545895,-1.503604,9.984126,-0.246666,-1.287114,9.718687,-0.052969,-0.01059,0.082891,8.16,3.06,-40.02,253.5891,7.0941,1.7704,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,547,2021-05-04 15:50:53:361
-0.474066,-1.63529,9.90272,-0.241734,-1.292101,9.718149,-0.049304,0.022397,0.104883,7.92,2.88,-39.84,253.5891,7.0941,1.7704,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,558,2021-05-04 15:50:53:372
-0.474066,-1.63529,9.90272,-0.241734,-1.292101,9.718149,-0.049304,0.022397,0.104883,7.92,2.88,-39.84,253.5891,7.0941,1.7704,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,567,2021-05-04 15:50:53:381
-0.351958,-1.316851,9.703996,-0.255578,-1.302183,9.716449,-0.07496,0.076764,0.181241,7.44,3.06,-40.2,248.8889,7.5712,1.4249,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,578,2021-05-04 15:50:53:392
-0.433364,-1.166012,9.636956,-0.255578,-1.302183,9.716449,-0.097562,-0.028305,0.232553,7.44,3.06,-40.2,248.8889,7.5712,1.4249,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,587,2021-05-04 15:50:53:401
-0.244216,-1.264177,9.680053,-0.264815,-1.318962,9.713939,-0.092064,-0.079618,0.247214,7.44,3.48,-40.2,248.8889,7.5712,1.4249,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,598,2021-05-04 15:50:53:412
-0.136474,-1.077424,9.818921,-0.264815,-1.318962,9.713939,-0.09634,-0.080839,0.221558,7.44,3.48,-40.2,248.8889,7.5712,1.4249,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,607,2021-05-04 15:50:53:421
-0.136474,-1.077424,9.818921,-0.255564,-1.335711,9.711898,-0.137879,0.041334,0.049294,8.1,3.84,-39.9,258.1953,7.7295,1.5616,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,617,2021-05-04 15:50:53:431
-0.031126,-0.550683,9.699207,-0.255564,-1.335711,9.711898,-0.172698,0.143348,-0.300732,8.1,3.84,-39.9,258.1953,7.7295,1.5616,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,627,2021-05-04 15:50:53:441
-0.311256,0.045491,9.373586,-0.269648,-1.364735,9.70748,-0.167811,0.104864,-0.474218,8.4,3.48,-40.38,258.1953,7.7295,1.5616,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,637,2021-05-04 15:50:53:451
-0.311256,0.045491,9.373586,-0.269648,-1.364735,9.70748,-0.195911,-0.006925,-0.678858,8.4,3.48,-40.38,258.1953,7.7295,1.5616,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,648,2021-05-04 15:50:53:462
-0.598569,-0.663214,9.411894,-0.267494,-1.40029,9.702475,-0.203852,-0.028305,-0.679468,8.1,3.24,-40.26,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,672,2021-05-04 15:50:53:486
-0.598569,-0.663214,9.411894,-0.267494,-1.40029,9.702475,-0.203852,-0.028305,-0.679468,8.1,3.24,-40.26,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,673,2021-05-04 15:50:53:487
-0.598569,-0.663214,9.411894,-0.267494,-1.40029,9.702475,-0.203852,-0.028305,-0.679468,8.1,3.24,-40.26,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,677,2021-05-04 15:50:53:491
-0.150839,-0.821236,9.256267,-0.267494,-1.40029,9.702475,-0.321749,-0.034414,-0.460779,8.1,3.24,-40.26,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,687,2021-05-04 15:50:53:501
0.002394,-0.876305,9.380769,-0.221747,-1.506411,9.687721,-0.354125,-0.061292,-0.411909,7.98,3.78,-39.9,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,697,2021-05-04 15:50:53:511
0.002394,-0.876305,9.380769,-0.209546,-1.540516,9.682628,-0.404216,-0.025251,-0.378923,7.92,4.02,-40.02,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,708,2021-05-04 15:50:53:522
0.227456,-1.156435,9.352037,-0.209546,-1.540516,9.682628,-0.489127,-0.006314,-0.34899,7.92,4.02,-40.02,249.1369,7.9995,1.5911,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,717,2021-05-04 15:50:53:531
0.225062,-1.673598,9.474146,-0.195039,-1.626968,9.66878,-0.606413,0.076764,-0.282406,7.44,4.62,-40.2,257.4259,9.038,1.2398,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,727,2021-05-04 15:50:53:541
0.225062,-1.673598,9.474146,-0.195039,-1.626968,9.66878,-0.718201,0.106085,-0.229261,7.44,4.62,-40.2,257.4259,9.038,1.2398,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,737,2021-05-04 15:50:53:551
0.225062,-1.963305,9.742304,-0.20424,-1.755923,9.646005,-0.820215,0.142126,-0.144351,7.74,4.98,-40.38,257.4259,9.038,1.2398,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,750,2021-05-04 15:50:53:564
-0.155628,-2.351178,9.828498,-0.20424,-1.755923,9.646005,-0.877637,0.157398,-0.020956,7.74,4.98,-40.38,257.4259,9.038,1.2398,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,758,2021-05-04 15:50:53:572
-0.411815,-2.351178,9.950606,-0.228809,-1.918751,9.614387,-0.825713,0.147624,0.038298,7.68,6.0,-40.5,259.7914,10.3147,1.213,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,769,2021-05-04 15:50:53:583
-0.507586,-2.193156,9.993703,-0.244166,-2.001107,9.597204,-0.825713,0.147624,0.038298,7.02,7.02,-40.92,259.7914,10.3147,1.213,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,779,2021-05-04 15:50:53:593
-0.507586,-2.193156,9.993703,-0.244166,-2.001107,9.597204,-0.714536,0.153733,0.062122,7.02,7.02,-40.92,259.7914,10.3147,1.213,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,787,2021-05-04 15:50:53:601
-0.409421,-1.968094,9.895537,-0.275227,-2.141996,9.565903,-0.591141,0.163507,0.059068,7.68,7.38,-39.84,259.7914,10.3147,1.213,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,797,2021-05-04 15:50:53:611
-0.538712,-1.984854,9.742304,-0.275227,-2.141996,9.565903,-0.467746,0.076153,0.082891,7.68,7.38,-39.84,259.7914,10.3147,1.213,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,807,2021-05-04 15:50:53:621
-0.538712,-1.984854,9.742304,-0.305597,-2.245276,9.541265,-0.467746,0.076153,0.082891,8.46,7.86,-39.06,263.7052,12.6164,1.648,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,817,2021-05-04 15:50:53:631
-0.600963,-1.927391,9.63935,-0.305597,-2.245276,9.541265,-0.408492,-0.001427,0.084113,8.46,7.86,-39.06,263.7052,12.6164,1.648,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,827,2021-05-04 15:50:53:641
-0.10056,-1.647261,9.469357,-0.310464,-2.323224,9.522427,-0.398718,-0.043577,-0.013014,7.98,8.1,-39.72,263.7052,12.6164,1.648,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,837,2021-05-04 15:50:53:651
-0.265764,-1.960911,9.538791,-0.305285,-2.361621,9.513144,-0.415823,-0.041744,-0.061273,7.74,8.34,-39.66,263.7052,12.6164,1.648,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,847,2021-05-04 15:50:53:661
-0.265764,-1.960911,9.538791,-0.305285,-2.361621,9.513144,-0.510507,0.057216,-0.195663,7.74,8.34,-39.66,263.7052,12.6164,1.648,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,857,2021-05-04 15:50:53:671
-0.177176,-2.166818,9.387952,-0.305285,-2.361621,9.513144,-0.572204,0.117692,-0.239645,7.74,8.34,-39.66,263.7052,12.6164,1.648,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,868,2021-05-04 15:50:53:682
-0.272947,-2.209916,9.402317,-0.303638,-2.456227,9.489211,-0.577702,0.125022,-0.238424,8.04,9.06,-39.72,261.908,13.9348,1.838,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,877,2021-05-04 15:50:53:691
-0.272947,-2.209916,9.402317,-0.303638,-2.456227,9.489211,-0.577702,0.125022,-0.238424,8.04,9.06,-39.72,261.908,13.9348,1.838,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,888,2021-05-04 15:50:53:702
-0.569837,-2.621731,9.419077,-0.325879,-2.62763,9.442444,-0.594806,0.093257,-0.116862,8.58,9.48,-39.3,261.908,13.9348,1.838,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,897,2021-05-04 15:50:53:711
-0.569837,-2.621731,9.419077,-0.325879,-2.62763,9.442444,-0.515394,0.119524,-0.099146,8.58,9.48,-39.3,261.908,13.9348,1.838,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,908,2021-05-04 15:50:53:722
-0.232245,-2.655251,9.378374,-0.339344,-2.731601,9.412416,-0.515394,0.119524,-0.099146,8.88,10.26,-39.3,263.3457,15.5419,1.9766,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,917,2021-05-04 15:50:53:731
-0.435758,-2.660039,9.337671,-0.339344,-2.731601,9.412416,-0.469579,0.145792,-0.08021,8.88,10.26,-39.3,263.3457,15.5419,1.9766,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,927,2021-05-04 15:50:53:741
-0.435758,-2.660039,9.337671,-0.359055,-2.817978,9.386185,-0.387112,0.049886,0.013253,9.18,10.62,-38.94,263.3457,15.5419,1.9766,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,937,2021-05-04 15:50:53:751
-0.634483,-2.961718,9.608225,-0.359055,-2.817978,9.386185,-0.341908,0.048053,0.121376,9.18,10.62,-38.94,263.3457,15.5419,1.9766,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,947,2021-05-04 15:50:53:761
-0.464489,-2.863552,9.581888,-0.372046,-2.883419,9.365781,-0.327247,0.062103,0.18063,9.18,10.44,-39.42,257.0935,16.6996,2.1907,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,957,2021-05-04 15:50:53:771
-0.282524,-2.449343,9.526819,-0.372046,-2.883419,9.365781,-0.32908,0.041334,0.206286,9.18,10.44,-39.42,257.0935,16.6996,2.1907,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,967,2021-05-04 15:50:53:781
-0.579414,-2.5092,9.428655,-0.392989,-2.942543,9.346518,-0.367564,0.062714,0.219725,9.36,10.92,-39.54,257.0935,16.6996,2.1907,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,977,2021-05-04 15:50:53:791
-0.579414,-2.5092,9.428655,-0.392989,-2.942543,9.346518,-0.367564,0.062714,0.219725,9.36,10.92,-39.54,257.0935,16.6996,2.1907,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,987,2021-05-04 15:50:53:801
-0.663214,-2.49244,9.423865,-0.420018,-3.018166,9.321193,-0.496457,0.069433,0.217282,9.24,11.52,-38.76,267.211,17.461,2.4077,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,998,2021-05-04 15:50:53:812
-0.524346,-2.753416,9.433443,-0.420018,-3.018166,9.321193,-0.617408,0.024229,0.170245,9.24,11.52,-38.76,267.211,17.461,2.4077,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,1007,2021-05-04 15:50:53:821
-0.524346,-2.753416,9.433443,-0.437132,-3.126057,9.284776,-0.705373,0.012012,0.088389,9.42,11.64,-38.94,267.211,17.461,2.4077,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,1017,2021-05-04 15:50:53:831
-0.507586,-3.01918,9.399923,-0.440493,-3.192278,9.262056,-0.755464,0.018121,0.016307,8.94,11.76,-39.36,267.211,17.461,2.4077,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,1027,2021-05-04 15:50:53:841
-0.61054,-3.471698,9.464568,-0.440493,-3.192278,9.262056,-0.763405,-0.013644,-0.022177,8.94,11.76,-39.36,267.211,17.461,2.4077,55.814007,37.500294,203.3856,NaN,0.0,6.0,,22 / 25,,1037,2021-05-04 15:50:53:851
