ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
0.471672,-0.318439,10.000886,0.009073,-0.027696,-0.001453,15.72,-49.44,25.68,197.8272,0.6538,-0.7449,55.814053,37.500275,211.7293,0,39
0.471672,-0.318439,10.000886,0.057332,0.023006,-0.002675,15.72,-49.44,25.68,197.8272,0.6538,-0.7449,55.814053,37.500275,211.7293,0,47
0.423787,-0.215485,10.0368,0.065884,0.041943,-0.003897,14.88,-48.96,25.92,197.8272,0.6538,-0.7449,55.814053,37.500275,211.7293,0,57
0.205908,-0.090982,9.799767,0.052445,0.003458,-0.003286,14.88,-48.96,25.92,197.8272,0.6538,-0.7449,55.814053,37.500275,211.7293,0,67
0.057463,0.011971,9.615408,0.052445,0.003458,-0.003286,13.98,-48.66,25.44,195.6761,0.7307,-0.7763,55.814053,37.500275,211.7293,0,76
-0.095771,0.069434,9.58907,0.010906,0.022395,-0.004508,13.98,-48.66,25.44,195.6761,0.7307,-0.7763,55.814053,37.500275,211.7293,0,87
-0.095771,0.069434,9.58907,-0.026357,0.021173,-0.000842,14.04,-48.54,25.14,195.6761,0.7307,-0.7763,55.814053,37.500275,211.7293,0,97
-0.153234,0.076617,9.814133,-0.040407,-0.017311,0.004655,14.04,-48.54,25.14,195.6761,0.7307,-0.7763,55.814053,37.500275,211.7293,0,107
-0.079011,-0.002394,9.866806,-0.037963,-0.002651,0.005266,14.76,-48.78,25.2,196.7784,0.6795,-0.7244,55.814053,37.500275,211.7293,0,117
-0.079011,-0.002394,9.866806,-0.019637,-0.000207,0.002212,14.76,-48.78,25.2,196.7784,0.6795,-0.7244,55.814053,37.500275,211.7293,0,127
0.023943,-0.146051,9.90272,0.001743,-0.020366,0.002212,15,-49.62,25.08,196.7784,0.6795,-0.7244,55.814045,37.500305,209.3791,0,136
0.138868,-0.208302,9.957788,0.010295,-0.005094,0.001601,15,-49.62,25.08,196.7784,0.6795,-0.7244,55.814045,37.500305,209.3791,0,147
0.205908,-0.222668,9.747093,0.010295,-0.005705,0.00099,15.18,-49.86,25.14,196.4638,0.7074,-0.7232,55.814045,37.500305,209.3791,0,157
0.244216,-0.203513,9.900327,-0.003755,-0.011814,-0.000842,15.18,-49.86,25.14,196.4638,0.7074,-0.7232,55.814045,37.500305,209.3791,0,167
0.244216,-0.203513,9.900327,-0.00742,0.002236,-0.002064,15.54,-48.84,25.26,196.4638,0.7074,-0.7232,55.814045,37.500305,209.3791,0,176
0.217879,-0.153234,9.873989,-0.004977,0.002236,-0.000232,15.54,-48.84,25.26,196.4638,0.7074,-0.7232,55.814045,37.500305,209.3791,0,187
0.160416,-0.0838,9.823709,0.006019,0.000404,0.002823,15.48,-48.78,25.38,196.7702,0.6958,-0.7468,55.814045,37.500305,209.3791,0,196
0.090982,-0.071828,9.878778,0.015182,0.01201,0.002823,15.48,-48.78,25.38,196.7702,0.6958,-0.7468,55.814045,37.500305,209.3791,0,207
0.102954,-0.057463,9.783007,0.016404,0.006512,0.002212,14.7,-49.26,25.68,196.7702,0.6958,-0.7468,55.814045,37.500305,209.3791,0,217
0.102954,-0.057463,9.783007,0.009073,-0.003261,-0.002064,14.7,-49.26,25.68,196.7702,0.6958,-0.7468,55.814045,37.500305,209.3791,0,227
0.10056,-0.086194,9.787795,-0.003144,0.007123,-0.00634,14.64,-49.5,25.08,196.7723,0.6951,-0.7421,55.814045,37.500305,209.3791,0,236
0.052674,-0.105348,9.799767,-0.009253,-0.001429,-0.009394,14.64,-49.5,25.08,196.7723,0.6951,-0.7421,55.814045,37.500305,209.3791,0,247
0.026337,-0.079011,9.893144,-0.009253,-0.012424,-0.011227,15,-49.2,24.36,196.7723,0.6951,-0.7421,55.814045,37.500305,209.3791,0,256
-0.069434,-0.153234,9.857229,-0.001922,-0.003261,-0.010005,15,-49.2,24.36,196.7723,0.6951,-0.7421,55.814045,37.500305,209.3791,0,267
-0.069434,-0.153234,9.857229,0.003575,-0.00937,-0.006951,14.76,-48.84,25.26,196.7775,0.6661,-0.7223,55.814045,37.500305,209.3791,0,277
0.031126,-0.172388,9.852441,0.013349,-0.017311,-0.00634,14.76,-48.84,25.26,196.7775,0.6661,-0.7223,55.814045,37.500305,209.3791,0,287
0.301679,-0.071828,9.854836,0.013349,-0.017311,-0.00634,15.12,-48.84,25.62,196.7775,0.6661,-0.7223,55.814045,37.500305,209.3791,0,297
0.287313,-0.021548,9.75667,0.012128,-0.003261,-0.000232,15.12,-48.84,25.62,196.7775,0.6661,-0.7223,55.814045,37.500305,209.3791,0,306
0.287313,-0.021548,9.75667,0.007851,0.013232,0.008931,15.42,-48.84,24.96,196.8046,0.6346,-0.6551,55.814045,37.500305,209.3791,0,317
0.33041,-0.040703,9.747093,0.000521,0.002847,0.011986,15.42,-48.84,24.96,196.8046,0.6346,-0.6551,55.814045,37.500305,209.3791,0,327
0.265765,-0.098165,9.881172,-0.006198,0.013232,0.011375,14.88,-48.84,25.2,196.8046,0.6346,-0.6551,55.814045,37.500305,209.3791,0,336
-0.009577,-0.117319,9.794978,-0.008642,0.026671,0.013208,14.88,-48.84,25.2,196.8046,0.6346,-0.6551,55.814045,37.500305,209.3791,0,346
-0.10056,-0.107742,9.878778,-0.004977,0.010788,0.007099,14.7,-48.78,25.32,196.7666,0.5932,-0.7228,55.814045,37.500305,209.3791,0,356
-0.10056,-0.107742,9.878778,0.002965,0.009567,0.013208,14.7,-48.78,25.32,196.7666,0.5932,-0.7228,55.814045,37.500305,209.3791,0,367
-0.189148,-0.148445,9.845258,0.009073,0.01201,0.021149,15.24,-48.54,25.5,196.7666,0.5932,-0.7228,55.814045,37.500305,209.3791,0,377
-0.24661,-0.021548,9.735122,0.010906,-0.010592,0.030923,15.24,-48.54,25.5,196.7666,0.5932,-0.7228,55.814045,37.500305,209.3791,0,386
-0.03352,-0.002394,9.828498,0.004186,-0.019755,0.031533,15,-48.84,25.2,196.7462,0.5546,-0.754,55.814045,37.500305,209.3791,0,397
0.088588,-0.126897,9.771035,-0.008031,-0.003872,0.032755,15,-48.84,25.2,196.7462,0.5546,-0.754,55.814045,37.500305,209.3791,0,406
0.043097,-0.196331,9.823709,-0.013529,-0.008148,0.035199,14.7,-49.38,25.08,196.7462,0.5546,-0.754,55.814045,37.500305,209.3791,0,417
0.043097,-0.196331,9.823709,-0.015972,-0.022198,0.030312,14.7,-49.38,25.08,196.7462,0.5546,-0.754,55.814045,37.500305,209.3791,0,426
0.150839,-0.122108,9.888355,0.000521,-0.026474,0.022981,14.94,-49.38,25.62,196.8444,0.5065,-0.5167,55.814045,37.500305,209.3791,0,436
0.387873,-0.002394,9.96976,0.015182,-0.003261,0.016262,14.94,-49.38,25.62,196.8444,0.5065,-0.5167,55.814045,37.500305,209.3791,0,447
0.500403,-0.023943,9.727939,0.02068,0.004069,0.011986,15.18,-49.26,24.66,196.8444,0.5065,-0.5167,55.814045,37.500305,209.3791,0,457
0.426181,-0.119714,9.830893,0.007241,0.008345,0.009542,15.18,-49.26,24.66,196.8444,0.5065,-0.5167,55.814045,37.500305,209.3791,0,467
0.426181,-0.119714,9.830893,-0.008031,0.027282,0.016873,15.78,-49.14,23.7,197.961,0.5506,-0.4565,55.814045,37.500305,209.3791,0,477
0.201119,-0.167599,9.804555,-0.017194,0.020562,0.024814,15.78,-49.14,23.7,197.961,0.5506,-0.4565,55.814045,37.500305,209.3791,0,487
-0.059857,-0.172388,9.80695,-0.017194,0.020562,0.024814,15.54,-49.32,24.3,197.961,0.5506,-0.4565,55.814045,37.500305,209.3791,0,496
-0.275342,-0.105348,9.900327,-0.017194,0.014454,0.030923,15.54,-49.32,24.3,197.961,0.5506,-0.4565,55.814045,37.500305,209.3791,0,507
-0.351958,-0.079011,9.845258,0.005408,0.021173,0.051081,15.42,-49.14,24.84,196.7906,0.5852,-0.6695,55.814045,37.500305,209.3791,0,516
-0.351958,-0.079011,9.845258,0.02068,0.002236,0.063909,15.42,-49.14,24.84,196.7906,0.5852,-0.6695,55.814045,37.500305,209.3791,0,527
-0.316044,-0.098165,9.797373,0.02129,-0.00204,0.081624,15.36,-49.14,25.14,196.7906,0.5852,-0.6695,55.814045,37.500305,209.3791,0,537
-0.260976,-0.10056,9.744699,0.009073,0.007734,0.104837,15.36,-49.14,25.14,196.7906,0.5852,-0.6695,55.814045,37.500305,209.3791,0,548
-0.205908,-0.136474,9.737515,-0.00742,-0.012424,0.126218,14.82,-48.78,25.44,196.8539,0.5826,-0.5347,55.814045,37.500305,209.3791,0,557
-0.203513,-0.141262,9.850046,-0.017194,-0.011814,0.146376,14.82,-48.78,25.44,196.8539,0.5826,-0.5347,55.814045,37.500305,209.3791,0,567
-0.203513,-0.141262,9.850046,-0.017194,-0.005094,0.166535,14.46,-48.66,25.26,196.8539,0.5826,-0.5347,55.814045,37.500305,209.3791,0,577
-0.186753,-0.134079,9.821315,0.001132,-0.017922,0.187304,14.46,-48.66,25.26,196.8539,0.5826,-0.5347,55.814045,37.500305,209.3791,0,586
-0.134079,-0.119714,9.90272,0.010295,-0.009981,0.198911,14.52,-48.54,25.26,196.9947,0.5995,-0.2405,55.814045,37.500305,209.3791,0,597
-0.071828,-0.122108,9.821315,0.010295,-0.009981,0.198911,14.52,-48.54,25.26,196.9947,0.5995,-0.2405,55.814045,37.500305,209.3791,0,607
-0.031126,-0.141262,9.778218,0.014571,-0.008148,0.218458,14.88,-48.84,25.44,196.9947,0.5995,-0.2405,55.814045,37.500305,209.3791,0,616
-0.031126,-0.141262,9.778218,0.005408,-0.012424,0.231286,14.88,-48.84,25.44,196.9947,0.5995,-0.2405,55.814045,37.500305,209.3791,0,627
-0.040703,-0.174782,9.778218,-0.005588,-0.005094,0.243504,15.12,-49.62,25.2,196.6674,0.6043,-0.2525,55.814045,37.500305,209.3791,0,636
-0.088588,-0.129291,9.804555,-0.011696,-0.001429,0.263662,15.12,-49.62,25.2,196.6674,0.6043,-0.2525,55.814045,37.500305,209.3791,0,647
-0.153234,-0.114925,9.857229,-0.005588,-0.005094,0.283821,15,-49.44,24.84,196.6674,0.6043,-0.2525,55.814045,37.500305,209.3791,0,657
-0.215485,-0.102954,9.845258,-0.001312,0.002236,0.297871,15,-49.44,24.84,196.6674,0.6043,-0.2525,55.814045,37.500305,209.3791,0,667
-0.215485,-0.102954,9.845258,0.009073,-0.000207,0.31864,14.52,-48.72,24.96,196.9884,0.6096,-0.2572,55.814045,37.500305,209.3791,0,677
-0.256187,-0.148445,9.785401,0.009073,-0.008759,0.338188,14.52,-48.72,24.96,196.9884,0.6096,-0.2572,55.814045,37.500305,209.3791,0,686
-0.268159,-0.160416,9.766247,0.002965,-0.008148,0.363233,14.94,-48.42,25.26,196.9884,0.6096,-0.2572,55.814045,37.500305,209.3791,0,697
-0.225062,-0.148445,9.794978,-0.008642,-0.01609,0.385835,14.94,-48.42,25.26,196.9884,0.6096,-0.2572,55.814045,37.500305,209.3791,0,707
-0.150839,-0.158022,9.830893,-0.014751,-0.0167,0.401107,15.6,-48.72,25.2,198.0584,0.6074,-0.2547,55.814045,37.500305,209.3791,0,716
-0.150839,-0.158022,9.830893,-0.012918,-0.015479,0.425542,15.6,-48.72,25.2,198.0584,0.6074,-0.2547,55.814045,37.500305,209.3791,0,727
-0.146051,-0.203513,9.835681,-0.001312,-0.017922,0.4457,15.54,-49.14,24.96,198.0584,0.6074,-0.2547,55.814045,37.500305,209.3791,0,737
-0.141262,-0.186753,9.852441,0.009684,-0.011814,0.464637,15.54,-49.14,24.96,198.0584,0.6074,-0.2547,55.814045,37.500305,209.3791,0,747
-0.117319,-0.146051,9.785401,0.010295,-0.015479,0.473189,14.7,-48.72,25.92,196.9824,0.6301,-0.2731,55.814045,37.500305,209.3791,0,757
-0.117319,-0.146051,9.785401,0.00663,-0.017922,0.487239,14.7,-48.72,25.92,196.9824,0.6301,-0.2731,55.814045,37.500305,209.3791,0,767
-0.093377,-0.126897,9.763853,-0.001312,-0.019755,0.5019,13.98,-48.66,26.16,196.9824,0.6301,-0.2731,55.814045,37.500305,209.3791,0,777
-0.007183,-0.102954,9.742304,-0.008642,-0.021587,0.50923,13.98,-48.66,26.16,196.9824,0.6301,-0.2731,55.814045,37.500305,209.3791,0,787
0.071828,-0.150839,9.828498,-0.018416,-0.014868,0.520226,14.4,-49.8,24.9,195.5868,0.6259,-0.2962,55.814045,37.500305,209.3791,0,797
0.035914,-0.198725,9.816526,-0.015361,-0.011203,0.527556,14.4,-49.8,24.9,195.5868,0.6259,-0.2962,55.814045,37.500305,209.3791,0,807
0.035914,-0.198725,9.816526,-0.009864,-0.022809,0.531832,14.82,-49.98,24.06,195.5868,0.6259,-0.2962,55.814045,37.500305,209.3791,0,817
0.167599,-0.299284,9.895537,-0.001922,-0.010592,0.535497,14.82,-49.98,24.06,195.5868,0.6259,-0.2962,55.814045,37.500305,209.3791,0,827
0.059857,-0.311256,9.926663,-0.001312,0.004069,0.532443,14.88,-49.62,24.3,196.645,0.6536,-0.321,55.814045,37.500305,209.3791,0,837
0.023943,-0.141262,9.778218,0.016404,-0.024642,0.541606,14.88,-49.62,24.3,196.645,0.6536,-0.321,55.814045,37.500305,209.3791,0,847
0.023943,-0.141262,9.778218,0.02068,-0.019144,0.545882,14.64,-49.74,24.18,196.645,0.6536,-0.321,55.814045,37.500305,209.3791,0,857
0.055068,-0.028731,9.852441,0.02129,0.00468,0.555045,14.64,-49.74,24.18,196.645,0.6536,-0.321,55.814045,37.500305,209.3791,0,867
0.004789,-0.076617,9.58907,0.006019,-0.024031,0.556878,14.58,-49.68,24.24,196.6419,0.6629,-0.3309,55.814045,37.500305,209.3791,0,877
0.057463,-0.143656,9.809344,-0.008642,-0.028918,0.559321,14.58,-49.68,24.24,196.6419,0.6629,-0.3309,55.814045,37.500305,209.3791,0,887
0.057463,-0.143656,9.809344,-0.008642,-0.028918,0.559321,14.4,-49.02,24.48,196.6419,0.6629,-0.3309,55.814045,37.500305,209.3791,0,897
0.110137,-0.158022,9.811738,-0.019637,-0.011203,0.566041,14.4,-49.02,24.48,196.6419,0.6629,-0.3309,55.814045,37.500305,209.3791,0,906
0.167599,-0.126897,9.816526,-0.008642,-0.026474,0.56543,13.92,-50.04,24.6,195.5604,0.6404,-0.3567,55.814045,37.500305,209.3791,0,917
0.155628,-0.136474,9.881172,0.002965,-0.002651,0.567262,13.92,-50.04,24.6,195.5604,0.6404,-0.3567,55.814045,37.500305,209.3791,0,927
0.136474,-0.136474,9.794978,0.010906,-0.014868,0.569706,14.64,-51.06,24.24,195.5604,0.6404,-0.3567,55.814045,37.500305,209.3791,0,937
0.136474,-0.136474,9.794978,0.007241,-0.018533,0.567262,14.64,-51.06,24.24,195.5604,0.6404,-0.3567,55.814045,37.500305,209.3791,0,947
0.105348,-0.184359,9.761458,-9E-05,-0.003261,0.570317,15.54,-50.22,24.24,197.6757,0.6725,-0.3754,55.814045,37.500305,209.3791,0,957
0.114925,-0.232245,9.75667,-0.011085,-0.019144,0.570317,15.54,-50.22,24.24,197.6757,0.6725,-0.3754,55.814045,37.500305,209.3791,0,967
0.086194,-0.249005,9.90272,-0.015361,-0.019144,0.571538,15.24,-49.74,24.84,197.6757,0.6725,-0.3754,55.814045,37.500305,209.3791,0,978
0.086194,-0.249005,9.90272,-0.003144,-0.014868,0.575204,15.24,-49.74,24.84,197.6757,0.6725,-0.3754,55.814045,37.500305,209.3791,0,986
0.031126,-0.146051,9.814133,0.015793,-0.030139,0.572149,14.82,-49.98,24.48,196.5992,0.7342,-0.4488,55.814045,37.500305,209.3791,0,997
0.093377,-0.031126,9.854836,0.015793,-0.030139,0.572149,14.82,-49.98,24.48,196.5992,0.7342,-0.4488,55.814045,37.500305,209.3791,0,1006
0.193936,-0.05028,9.732727,0.023734,-0.017922,0.576425,14.52,-50.46,24.06,196.5992,0.7342,-0.4488,55.814045,37.500305,209.3791,0,1017
0.289707,-0.172388,9.699207,0.009684,-0.019144,0.575204,14.52,-50.46,24.06,196.5992,0.7342,-0.4488,55.814045,37.500305,209.3791,0,1027
0.275342,-0.24661,9.804555,-0.025746,-0.014868,0.575814,14.04,-50.22,24.3,195.5227,0.8304,-0.5024,55.814045,37.500305,209.3791,0,1039
0.275342,-0.24661,9.804555,-0.025746,-0.014868,0.575814,14.04,-50.22,24.3,195.5227,0.8304,-0.5024,55.814045,37.500305,209.3791,0,1047
0.222668,-0.244216,9.840469,-0.02819,-0.011203,0.575204,14.52,-49.86,24.48,195.5227,0.8304,-0.5024,55.814045,37.500305,209.3791,0,1057
0.153234,-0.205908,9.931452,-0.011085,-0.008759,0.578869,14.52,-49.86,24.48,195.5227,0.8304,-0.5024,55.814045,37.500305,209.3791,0,1067
-0.009577,-0.126897,9.842864,0.015182,0.002236,0.584367,14.94,-50.4,24.6,196.5291,0.8583,-0.6287,55.814045,37.500305,209.3791,0,1077
-0.009577,-0.126897,9.842864,0.027399,-0.008148,0.591086,14.94,-50.4,24.6,196.5291,0.8583,-0.6287,55.814045,37.500305,209.3791,0,1086
-0.10056,-0.138868,9.735122,0.017014,-0.012424,0.601471,14.46,-50.64,25.02,196.5291,0.8583,-0.6287,55.814045,37.500305,209.3791,0,1097
-0.112531,-0.184359,9.727939,-0.006198,-0.020366,0.611855,14.46,-50.64,25.02,196.5291,0.8583,-0.6287,55.814045,37.500305,209.3791,0,1107
-0.059857,-0.232245,9.718362,-0.02147,-0.029529,0.614299,14.76,-49.86,24.72,196.498,0.9188,-0.7141,55.814045,37.500305,209.3791,0,1116
0.086194,-0.258582,9.864412,-0.0288,-0.033805,0.621629,14.76,-49.86,24.72,196.498,0.9188,-0.7141,55.814045,37.500305,209.3791,0,1127
0.086194,-0.258582,9.864412,-0.01414,-0.030139,0.626516,14.46,-50.16,24.3,196.498,0.9188,-0.7141,55.814037,37.500317,208.6767,0,1137
0.198725,-0.217879,9.90272,0.007241,-0.027696,0.623462,14.46,-50.16,24.3,196.498,0.9188,-0.7141,55.814037,37.500317,208.6767,0,1147
0.323227,-0.193936,9.921875,0.024345,-0.018533,0.625295,14.4,-50.64,24.18,195.2089,0.9821,-0.5941,55.814037,37.500317,208.6767,0,1157
0.311256,-0.184359,9.80695,0.029232,-0.007537,0.626516,14.4,-50.64,24.18,195.2089,0.9821,-0.5941,55.814037,37.500317,208.6767,0,1167
0.186753,-0.181965,9.725544,0.02129,-0.006927,0.628349,14.34,-50.28,24.48,195.2089,0.9821,-0.5941,55.814037,37.500317,208.6767,0,1177
0.071828,-0.174782,9.727939,0.001132,-0.011203,0.631403,14.34,-50.28,24.48,195.2089,0.9821,-0.5941,55.814037,37.500317,208.6767,0,1186
0.071828,-0.174782,9.727939,0.001132,-0.011203,0.631403,13.32,-49.86,24.48,194.4205,1.0429,-0.6147,55.814037,37.500317,208.6767,0,1197
0.045491,-0.146051,9.737515,-0.01414,-0.014257,0.638123,13.32,-49.86,24.48,194.4205,1.0429,-0.6147,55.814037,37.500317,208.6767,0,1206
0.086194,-0.110137,9.818921,-0.015361,-0.024031,0.641788,13.38,-50.16,24.24,194.4205,1.0429,-0.6147,55.814037,37.500317,208.6767,0,1217
0.119714,-0.110137,9.847652,-0.004977,-0.017922,0.641788,13.38,-50.16,24.24,194.4205,1.0429,-0.6147,55.814037,37.500317,208.6767,0,1226
0.129291,-0.24661,9.778218,0.004797,-0.019755,0.646675,13.68,-50.76,24.12,195.1781,1.0736,-0.6895,55.814037,37.500317,208.6767,0,1237
0.129291,-0.24661,9.778218,0.007851,-0.019144,0.648507,13.68,-50.76,24.12,195.1781,1.0736,-0.6895,55.814037,37.500317,208.6767,0,1247
0.193936,-0.301679,9.840469,0.001743,-0.017311,0.656449,13.8,-50.64,23.64,195.1781,1.0736,-0.6895,55.814037,37.500317,208.6767,0,1257
0.198725,-0.284919,9.816526,-0.004977,-0.014257,0.661336,13.8,-50.64,23.64,195.1781,1.0736,-0.6895,55.814037,37.500317,208.6767,0,1266
0.114925,-0.186753,9.79019,-0.005588,-0.014868,0.667444,13.74,-50.4,23.82,195.4644,1.0586,-0.6973,55.814037,37.500317,208.6767,0,1277
0.112531,-0.088588,9.847652,0.002965,-0.01609,0.669277,13.74,-50.4,23.82,195.4644,1.0586,-0.6973,55.814037,37.500317,208.6767,0,1287
0.112531,-0.088588,9.847652,0.010295,-0.014868,0.668055,13.56,-50.76,23.82,195.4644,1.0586,-0.6973,55.814037,37.500317,208.6767,0,1297
0.146051,-0.064645,9.766247,0.010906,-0.024031,0.666222,13.56,-50.76,23.82,195.4644,1.0586,-0.6973,55.814037,37.500317,208.6767,0,1307
0.201119,-0.129291,9.730332,-0.003755,-0.021587,0.660725,13.44,-51.36,23.94,194.1029,1.1339,-0.7367,55.814037,37.500317,208.6767,0,1317
0.201119,-0.129291,9.730332,-0.022081,-0.022198,0.660725,13.44,-51.36,23.94,194.1029,1.1339,-0.7367,55.814037,37.500317,208.6767,0,1327
0.258582,-0.222668,9.75667,-0.025135,-0.024642,0.65767,13.32,-51.06,24.42,194.1029,1.1339,-0.7367,55.814037,37.500317,208.6767,0,1337
0.289707,-0.277736,9.811738,-0.025135,-0.024642,0.65767,13.32,-51.06,24.42,194.1029,1.1339,-0.7367,55.814037,37.500317,208.6767,0,1347
0.249005,-0.284919,9.90272,-0.016583,-0.0167,0.659503,13.44,-50.4,24.18,194.3506,1.0948,-0.7817,55.814037,37.500317,208.6767,0,1357
0.249005,-0.284919,9.90272,0.002354,-0.0167,0.655227,13.44,-50.4,24.18,194.3506,1.0948,-0.7817,55.814037,37.500317,208.6767,0,1367
0.22985,-0.22985,9.838076,0.01396,-0.01609,0.647896,13.44,-50.94,24,194.3506,1.0948,-0.7817,55.814037,37.500317,208.6767,0,1376
0.277736,-0.177176,9.785401,0.017625,-0.009981,0.646064,13.44,-50.94,24,194.3506,1.0948,-0.7817,55.814037,37.500317,208.6767,0,1387
0.258582,-0.148445,9.744699,0.002354,-0.014868,0.644231,13.26,-51.78,24.42,193.7599,1.1509,-0.9219,55.814037,37.500317,208.6767,0,1397
0.249005,-0.172388,9.720756,-0.011696,-0.014868,0.645453,13.26,-51.78,24.42,193.7599,1.1509,-0.9219,55.814037,37.500317,208.6767,0,1407
0.249005,-0.172388,9.720756,-0.020859,-0.009981,0.641788,13.56,-51.36,24.36,193.7599,1.1509,-0.9219,55.814037,37.500317,208.6767,0,1416
0.225062,-0.193936,9.816526,-0.020859,-0.010592,0.64301,13.56,-51.36,24.36,193.7599,1.1509,-0.9219,55.814037,37.500317,208.6767,0,1427
0.21309,-0.210696,9.845258,-0.009864,-0.014868,0.647286,13.44,-51.24,23.94,193.9568,1.1556,-1.0671,55.814037,37.500317,208.6767,0,1437
0.177176,-0.208302,9.866806,-0.009864,-0.014868,0.647286,13.44,-51.24,23.94,193.9568,1.1556,-1.0671,55.814037,37.500317,208.6767,0,1447
0.177176,-0.208302,9.866806,0.001132,0.007734,0.654616,13.44,-51.18,23.76,193.9568,1.1556,-1.0671,55.814037,37.500317,208.6767,0,1457
0.059857,-0.320833,9.744699,0.001743,-0.005705,0.660725,13.44,-51.18,23.76,193.9568,1.1556,-1.0671,55.814037,37.500317,208.6767,0,1467
-0.002394,-0.373507,9.792584,-0.001922,-0.012424,0.67172,13.8,-50.88,23.4,194.9922,1.1865,-1.1737,55.814037,37.500317,208.6767,0,1477
-0.06704,-0.385478,9.883567,-0.012918,-0.003261,0.67844,13.8,-50.88,23.4,194.9922,1.1865,-1.1737,55.814037,37.500317,208.6767,0,1487
-0.023943,-0.339987,9.80695,-0.008031,-0.022198,0.691268,13.62,-51.18,23.76,194.9922,1.1865,-1.1737,55.814037,37.500317,208.6767,0,1497
-0.023943,-0.339987,9.80695,0.002354,-0.022809,0.69982,13.62,-51.18,23.76,194.9922,1.1865,-1.1737,55.814037,37.500317,208.6767,0,1506
-0.021548,-0.232245,9.873989,0.002354,-0.022809,0.69982,13.38,-50.94,23.94,193.9682,1.2791,-1.074,55.814037,37.500317,208.6767,0,1517
0.021548,-0.146051,9.811738,0.017625,-0.014868,0.714481,13.38,-50.94,23.94,193.9682,1.2791,-1.074,55.814037,37.500317,208.6767,0,1527
0.081405,-0.169993,9.718362,0.019458,-0.027696,0.726698,13.5,-50.52,23.7,193.9682,1.2791,-1.074,55.814037,37.500317,208.6767,0,1537
0.081405,-0.169993,9.718362,0.00663,-0.015479,0.732807,13.5,-50.52,23.7,193.9682,1.2791,-1.074,55.814037,37.500317,208.6767,0,1546
0.0838,-0.237033,9.730332,-0.009253,-0.014257,0.740748,12.84,-51.36,23.04,194.0957,1.3939,-0.8415,55.814037,37.500317,208.6767,0,1557
0.06704,-0.28013,9.804555,-0.023303,-0.025253,0.747468,12.84,-51.36,23.04,194.0957,1.3939,-0.8415,55.814037,37.500317,208.6767,0,1567
0.06704,-0.308861,9.850046,-0.023914,-0.018533,0.759685,12.66,-51.66,23.16,194.0957,1.3939,-0.8415,55.814037,37.500317,208.6767,0,1577
0.071828,-0.325621,9.895537,-0.012307,-0.017922,0.767015,12.66,-51.66,23.16,194.0957,1.3939,-0.8415,55.814037,37.500317,208.6767,0,1587
0.071828,-0.325621,9.895537,-0.000701,-0.022809,0.776789,13.14,-51.06,24.18,194.1291,1.423,-0.7546,55.814037,37.500317,208.6767,0,1597
0.059857,-0.349564,9.883567,0.014571,-0.014257,0.789006,13.14,-51.06,24.18,194.1291,1.423,-0.7546,55.814037,37.500317,208.6767,0,1607
0.045491,-0.33041,9.778218,0.009684,-0.020976,0.801835,12.96,-50.88,24.66,194.1291,1.423,-0.7546,55.814037,37.500317,208.6767,0,1617
0.019154,-0.306467,9.780613,0.002965,-0.024031,0.81283,12.96,-50.88,24.66,194.1291,1.423,-0.7546,55.814037,37.500317,208.6767,0,1627
0.043097,-0.31365,9.794978,-0.006809,-0.022809,0.823215,12.84,-51.3,24.54,194.1279,1.4564,-0.7502,55.814037,37.500317,208.6767,0,1637
0.043097,-0.31365,9.794978,-0.008642,-0.024642,0.832378,12.84,-51.3,24.54,194.1279,1.4564,-0.7502,55.814037,37.500317,208.6767,0,1647
0.095771,-0.316044,9.826104,-0.008642,-0.028307,0.837265,12.6,-51.84,24.18,194.1279,1.4564,-0.7502,55.814037,37.500317,208.6767,0,1656
0.126897,-0.337593,9.854836,0.005408,-0.022809,0.851315,12.6,-51.84,24.18,194.1279,1.4564,-0.7502,55.814037,37.500317,208.6767,0,1668
0.126897,-0.337593,9.854836,0.005408,-0.022809,0.851315,12.36,-52.32,23.7,192.8164,1.4785,-0.7519,55.814037,37.500317,208.6767,0,1677
0.169994,-0.275342,9.818921,0.012738,-0.024031,0.859867,12.96,-51.96,23.16,192.8164,1.4785,-0.7519,55.814037,37.500317,208.6767,0,1687
0.215485,-0.249005,9.780613,0.012738,-0.020366,0.86231,12.96,-51.96,23.16,192.8164,1.4785,-0.7519,55.814037,37.500317,208.6767,0,1697
0.215485,-0.249005,9.780613,0.004797,-0.017311,0.867808,13.38,-52.14,23.1,192.8164,1.4785,-0.7519,55.814037,37.500317,208.6767,0,1707
0.181965,-0.270553,9.799767,-0.006809,-0.015479,0.877582,13.38,-52.14,23.1,192.8164,1.4785,-0.7519,55.814037,37.500317,208.6767,0,1717
0.0838,-0.265764,9.775824,-0.009864,-0.014257,0.891021,12.96,-52.2,23.82,193.8744,1.4995,-0.753,55.814037,37.500317,208.6767,0,1727
