ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
0.007183,0.011971,9.727939,0.001178,-0.00119,0.004827,-1.38,-14.1,-48.9,172.3904,0.0994,-0.1352,55.814037,37.500313,219.4777,0.0878,21
0.047885,0.026337,9.783007,0.001178,-0.00119,0.004827,-1.38,-14.1,-48.9,172.3904,0.0994,-0.1352,55.814037,37.500313,219.4777,0.0878,30
0.057463,0,9.816526,-0.009207,-0.001801,0.003605,-1.8,-14.22,-48.84,172.2608,0.0953,-0.1009,55.814037,37.500313,219.4777,0.0878,40
0.057463,0,9.816526,-0.012872,-0.000579,-0.000671,-1.8,-14.22,-48.84,172.2608,0.0953,-0.1009,55.814037,37.500313,219.4777,0.0878,51
0.004789,-0.031126,9.833286,-0.012261,-0.002412,-0.003114,-1.98,-14.28,-49.92,172.2608,0.0953,-0.1009,55.814037,37.500313,219.4777,0.0878,61
0.011971,-0.038308,9.876384,-4.4E-05,-0.00119,-6E-05,-1.98,-14.28,-49.92,172.2608,0.0953,-0.1009,55.814037,37.500313,219.4777,0.0878,70
0.007183,-0.01676,9.862018,0.007897,3.2E-05,-0.001282,-1.5,-13.68,-50.1,176.3134,0.088,-0.1066,55.814037,37.500313,219.4777,0.0878,81
0.021548,-0.011971,9.754275,0.007897,0.001253,-0.001892,-1.5,-13.68,-50.1,176.3134,0.088,-0.1066,55.814037,37.500313,219.4777,0.0878,91
0.021548,-0.011971,9.754275,0.007897,3.2E-05,-0.000671,-1.98,-13.74,-49.14,176.3134,0.088,-0.1066,55.814037,37.500313,219.4777,0.0878,100
0.076617,0.014366,9.828498,-0.002487,-0.007299,-0.003725,-1.98,-13.74,-49.14,176.3134,0.088,-0.1066,55.814037,37.500313,219.4777,0.0878,110
0.026337,0.019154,9.811738,-0.009818,0.000643,-0.003114,-2.04,-14.34,-48.78,172.2529,0.08,-0.1007,55.814037,37.500313,219.4777,0.0878,121
0.011971,-0.038308,9.854836,-0.01104,3.2E-05,-0.004336,-2.04,-14.34,-48.78,172.2529,0.08,-0.1007,55.814037,37.500313,219.4777,0.0878,130
0.011971,-0.038308,9.854836,-0.006763,-0.001801,-0.005558,-1.74,-14.58,-49.5,172.2529,0.08,-0.1007,55.814037,37.500313,219.4777,0.0878,141
0.031126,-0.03352,9.895537,0.000567,3.2E-05,-0.00739,-1.74,-14.58,-49.5,172.2529,0.08,-0.1007,55.814037,37.500313,219.4777,0.0878,150
-0.011971,-0.095771,9.869201,0.004232,0.00553,-0.003114,-1.92,-14.1,-49.5,172.305,0.0828,-0.1155,55.814037,37.500313,219.4777,0.0878,160
-0.004789,-0.028731,9.778218,0.004843,0.002475,0.000551,-1.92,-14.1,-49.5,172.305,0.0828,-0.1155,55.814037,37.500313,219.4777,0.0878,170
-0.011971,-0.035914,9.866806,0.003621,-0.003633,0.005438,-2.46,-13.32,-48.6,172.305,0.0828,-0.1155,55.814037,37.500313,219.4777,0.0878,181
0.031126,-0.045491,9.818921,0.002399,0.003086,0.004827,-2.4,-13.38,-49.08,172.305,0.0828,-0.1155,55.814037,37.500313,219.4777,0.0878,191
0.031126,-0.045491,9.818921,-0.003098,-0.003633,0.007271,-2.4,-13.38,-49.08,172.305,0.0828,-0.1155,55.814037,37.500313,219.4777,0.0878,201
0.045491,0.06704,9.838076,-0.000655,0.001864,0.002384,-1.86,-13.38,-48.6,171.734,0.0942,-0.1166,55.814037,37.500313,219.4777,0.0878,211
-0.06704,-0.141262,9.838076,-0.001877,0.001864,-0.003114,-1.86,-13.38,-48.6,171.734,0.0942,-0.1166,55.814037,37.500313,219.4777,0.0878,220
0.01676,-0.114925,9.835681,-0.006763,-0.012186,0.004216,-1.74,-13.74,-48.72,171.734,0.0942,-0.1166,55.814037,37.500313,219.4777,0.0878,231
0.01676,-0.114925,9.835681,-0.006153,0.003086,0.004827,-1.74,-13.74,-48.72,171.734,0.0942,-0.1166,55.814037,37.500313,219.4777,0.0878,241
0.095771,0.102954,9.876384,0.001789,0.008584,-0.001282,-1.8,-14.28,-49.68,172.3021,0.1039,-0.1093,55.814037,37.500313,219.4777,0.0878,251
0,0.086194,9.857229,0.001789,0.008584,-0.001282,-1.8,-14.28,-49.68,172.3021,0.1039,-0.1093,55.814037,37.500313,219.4777,0.0878,260
-0.057463,-0.148445,9.785401,0.004843,-0.00119,0.002994,-1.5,-14.58,-49.86,172.3021,0.1039,-0.1093,55.814037,37.500313,219.4777,0.0878,270
0.059857,-0.119714,9.869201,-0.001877,-0.004244,0.002994,-1.86,-14.88,-49.8,172.3021,0.1039,-0.1093,55.814037,37.500313,219.4777,0.0878,281
0.059857,-0.119714,9.869201,-0.006763,-0.007299,0.002384,-1.86,-14.88,-49.8,172.3021,0.1039,-0.1093,55.814037,37.500313,219.4777,0.0878,291
0.040703,0.05028,9.878778,-0.001877,0.008584,-0.001892,-1.92,-15,-50.1,172.799,0.1605,-0.0998,55.814037,37.500313,219.4777,0.0878,301
0.011971,0.028731,9.751882,0.004843,-0.001801,-0.000671,-1.92,-15,-50.1,172.799,0.1605,-0.0998,55.814037,37.500313,219.4777,0.0878,311
0.055068,-0.045491,9.943423,0.001789,-0.003633,0.001773,-1.68,-14.64,-49.26,172.799,0.1605,-0.0998,55.814037,37.500313,219.4777,0.0878,320
-0.03352,-0.023943,9.821315,0.002399,0.00553,0.005438,-1.68,-14.64,-49.26,172.799,0.1605,-0.0998,55.814037,37.500313,219.4777,0.0878,330
-0.03352,-0.023943,9.821315,0.00301,0.003697,0.010325,-1.5,-13.62,-48.36,176.3074,0.1968,-0.1025,55.814037,37.500313,219.4777,0.0878,340
-0.045491,-0.021548,9.811738,0.004232,3.2E-05,0.015212,-1.5,-13.62,-48.36,176.3074,0.1968,-0.1025,55.814037,37.500313,219.4777,0.0878,351
-0.021548,-0.01676,9.883567,-0.003098,0.007362,0.02132,-1.8,-13.62,-48.48,176.3074,0.1968,-0.1025,55.814037,37.500313,219.4777,0.0878,360
-0.069434,0.031126,9.797373,-0.001877,3.2E-05,0.024375,-1.8,-13.62,-48.48,176.3074,0.1968,-0.1025,55.814037,37.500313,219.4777,0.0878,371
-0.122108,0.007183,9.847652,-0.00432,0.003697,0.024986,-1.68,-13.98,-48.84,172.2293,0.1938,-0.0782,55.814037,37.500313,219.4777,0.0878,381
-0.122108,0.007183,9.847652,-0.002487,-0.000579,0.028651,-1.68,-13.98,-48.84,172.2293,0.1938,-0.0782,55.814037,37.500313,219.4777,0.0878,391
-0.076617,-0.076617,9.768641,-0.009207,-0.012796,0.026818,-1.32,-14.04,-48.78,172.2293,0.1938,-0.0782,55.814037,37.500313,219.4777,0.0878,400
0.122108,-0.110137,9.845258,-0.010429,-0.009742,0.020099,-1.32,-14.04,-48.78,172.2293,0.1938,-0.0782,55.814037,37.500313,219.4777,0.0878,411
0.153234,-0.028731,9.890749,-0.006153,-0.000579,0.012157,-1.8,-14.16,-48.48,171.9455,0.1695,0.0015,55.814037,37.500313,219.4777,0.0878,420
0.155628,0.002394,9.850046,-4.4E-05,-0.007299,0.004216,-1.8,-14.16,-48.48,171.9455,0.1695,0.0015,55.814037,37.500313,219.4777,0.0878,431
0.155628,0.002394,9.850046,0.008508,0.000643,-0.001282,-2.46,-14.16,-48.9,171.9455,0.1695,0.0015,55.814037,37.500313,219.4777,0.0878,440
0.117319,0.01676,9.828498,0.006676,0.004308,-6E-05,-2.46,-14.16,-48.9,171.9455,0.1695,0.0015,55.814037,37.500313,219.4777,0.0878,450
0.009577,-0.014366,9.809344,-4.4E-05,0.001253,0.003605,-2.16,-14.22,-49.02,172.0277,0.1789,-0.0209,55.814037,37.500313,219.4777,0.0878,461
0.009577,-0.014366,9.809344,-4.4E-05,0.001253,0.003605,-2.16,-14.22,-49.02,172.0277,0.1789,-0.0209,55.814037,37.500313,219.4777,0.0878,470
-0.059857,0.011971,9.809344,-0.006153,0.004308,0.016433,-2.22,-14.22,-49.02,172.0277,0.1789,-0.0209,55.814037,37.500313,219.4777,0.0878,481
0,-0.004789,9.802161,-0.006153,0.004308,0.016433,-2.22,-14.22,-49.02,172.0277,0.1789,-0.0209,55.814037,37.500313,219.4777,0.0878,491
-0.150839,-0.021548,9.893144,-0.001877,0.002475,0.029873,-2.34,-14.04,-49.5,172.2916,0.1246,-0.1059,55.814037,37.500313,219.4777,0.0878,500
-0.167599,-0.081405,9.823709,-0.001877,0.004919,0.039036,-2.34,-14.04,-49.5,172.2916,0.1246,-0.1059,55.814037,37.500313,219.4777,0.0878,511
-0.167599,-0.081405,9.823709,-0.003709,-0.001801,0.048809,-2.22,-14.34,-49.5,172.2916,0.1246,-0.1059,55.814037,37.500313,219.4777,0.0878,520
-0.148445,-0.153234,9.869201,-0.002487,-0.004855,0.055529,-2.22,-14.34,-49.5,172.2916,0.1246,-0.1059,55.814037,37.500313,219.4777,0.0878,530
-0.112531,-0.110137,9.845258,-0.001877,-0.00119,0.060416,-2.52,-14.64,-49.56,168.8946,0.1413,-0.0361,55.814037,37.500313,219.4777,0.0878,541
-0.01676,0.004789,9.852441,0.006676,-0.005466,0.068357,-2.52,-14.64,-49.56,168.8946,0.1413,-0.0361,55.814037,37.500313,219.4777,0.0878,551
-0.01676,0.004789,9.852441,0.009119,-0.006077,0.071411,-2.22,-14.1,-49.8,168.8946,0.1413,-0.0361,55.814037,37.500313,219.4777,0.0878,561
0.088588,0.009577,9.833286,0.00973,0.001253,0.07019,-2.22,-14.1,-49.8,168.8946,0.1413,-0.0361,55.814037,37.500313,219.4777,0.0878,571
0.026337,0.01676,9.794978,0.005454,0.001864,0.07019,-2.04,-13.8,-49.56,171.5257,0.2424,0.1345,55.814037,37.500313,219.4777,0.0878,580
-0.019154,0.023943,9.79019,0.003621,3.2E-05,0.07019,-2.04,-13.8,-49.56,171.5257,0.2424,0.1345,55.814037,37.500313,219.4777,0.0878,590
-0.004789,-0.014366,9.809344,-0.002487,-0.004244,0.07019,-2.22,-14.1,-49.8,171.5257,0.2424,0.1345,55.814037,37.500313,219.4777,0.0878,601
-0.004789,-0.014366,9.809344,-0.003709,-0.004244,0.069579,-2.22,-14.1,-49.8,171.5257,0.2424,0.1345,55.814037,37.500313,219.4777,0.0878,610
-0.009577,-0.004789,9.833286,0.000567,-0.002412,0.079963,-1.86,-14.16,-49.56,171.4783,0.2492,0.1493,55.814037,37.500313,219.4777,0.0878,621
0.009577,0.009577,9.814133,0.001789,-0.004244,0.079353,-1.86,-14.16,-49.56,171.4783,0.2492,0.1493,55.814037,37.500313,219.4777,0.0878,630
0.026337,-0.007183,9.80695,0.001789,-0.001801,0.074466,-1.44,-13.92,-49.38,171.4783,0.2492,0.1493,55.814037,37.500313,219.4777,0.0878,641
0.026337,-0.007183,9.80695,-0.001877,-0.000579,0.079353,-1.44,-13.92,-49.38,171.4783,0.2492,0.1493,55.814037,37.500313,219.4777,0.0878,651
0.040703,-0.038308,9.818921,-0.005542,-0.001801,0.079963,-1.56,-14.52,-49.8,172.0956,0.2244,0.1258,55.814037,37.500313,219.4777,0.0878,661
0.011971,-0.064645,9.833286,-0.005542,-0.001801,0.079963,-1.56,-14.52,-49.8,172.0956,0.2244,0.1258,55.814037,37.500313,219.4777,0.0878,670
-0.009577,-0.023943,9.840469,-0.002487,-0.002412,0.079353,-2.4,-15.24,-49.68,172.0956,0.2244,0.1258,55.814037,37.500313,219.4777,0.0878,681
-0.009577,-0.023943,9.840469,0.002399,-0.007299,0.079353,-2.4,-15.24,-49.68,172.0956,0.2244,0.1258,55.814037,37.500313,219.4777,0.0878,691
0.043097,0.002394,9.835681,0.004232,-0.003023,0.07752,-2.28,-14.94,-49.44,172.2619,0.2042,0.0724,55.814037,37.500313,219.4777,0.0878,701
0.134079,-0.019154,9.821315,0.00301,-0.001801,0.071411,-2.28,-14.94,-49.44,172.2619,0.2042,0.0724,55.814037,37.500313,219.4777,0.0878,711
0.110137,-0.0838,9.826104,-0.001877,-0.002412,0.069579,-1.92,-14.4,-49.62,172.2619,0.2042,0.0724,55.814037,37.500313,219.4777,0.0878,721
-0.0838,-0.035914,9.811738,-0.005542,0.00553,0.065914,-1.92,-14.4,-49.62,172.2619,0.2042,0.0724,55.814037,37.500313,219.4777,0.0878,730
-0.03352,0.047885,9.804555,0.000567,-0.005466,0.071411,-1.68,-14.1,-49.62,171.9507,0.1772,0.002,55.814037,37.500313,219.4777,0.0878,742
-0.03352,0.047885,9.804555,0.003621,-0.011575,0.069579,-1.68,-14.1,-49.62,171.9507,0.1772,0.002,55.814037,37.500313,219.4777,0.0878,750
0.110137,-0.004789,9.823709,0.002399,0.00553,0.068357,-1.56,-14.34,-49.26,171.9507,0.1772,0.002,55.814037,37.500313,219.4777,0.0878,761
0.055068,-0.059857,9.804555,-0.006763,-0.002412,0.073855,-1.56,-14.34,-49.26,171.9507,0.1772,0.002,55.814037,37.500313,219.4777,0.0878,771
-0.093377,-0.038308,9.816526,-0.007985,-0.000579,0.078742,-2.1,-14.7,-49.56,172.6978,0.1672,-0.0678,55.814037,37.500313,219.4777,0.0878,781
-0.093377,-0.038308,9.816526,-0.003098,-0.000579,0.083018,-2.1,-14.7,-49.56,172.6978,0.1672,-0.0678,55.814037,37.500313,219.4777,0.0878,791
-0.134079,-0.071828,9.833286,-0.003098,-0.000579,0.083018,-1.98,-14.34,-49.8,172.6978,0.1672,-0.0678,55.814037,37.500313,219.4777,0.0878,801
-0.047885,-0.081405,9.835681,0.003621,-0.009742,0.086683,-2.16,-13.62,-50.04,172.6978,0.1672,-0.0678,55.814037,37.500313,219.4777,0.0878,811
-0.047885,-0.081405,9.835681,0.009119,-0.00119,0.09157,-2.16,-13.62,-50.04,172.6978,0.1672,-0.0678,55.814037,37.500313,219.4777,0.0878,821
0.035914,0.047885,9.794978,0.004843,-0.000579,0.095846,-1.74,-13.92,-49.44,172.1855,0.1719,-0.0683,55.814037,37.500313,219.4777,0.0878,830
0.038308,-0.028731,9.77343,-0.001877,-0.003633,0.09157,-1.74,-13.92,-49.44,172.1855,0.1719,-0.0683,55.814037,37.500313,219.4777,0.0878,841
0.201119,-0.03352,9.804555,-0.008596,-0.011575,0.087294,-1.2,-14.16,-49.02,172.1855,0.1719,-0.0683,55.814037,37.500313,219.4777,0.0878,851
0.201119,-0.03352,9.804555,-0.005542,-0.006077,0.089737,-1.2,-14.16,-49.02,172.1855,0.1719,-0.0683,55.814037,37.500313,219.4777,0.0878,861
-0.026337,0,9.941029,-0.000655,0.023245,0.092181,-1.5,-14.1,-49.86,176.0647,0.1736,-0.0304,55.814037,37.500313,219.4777,0.0878,870
-0.299284,-0.059857,9.699207,0.004232,0.002475,0.100122,-1.5,-14.1,-49.86,176.0647,0.1736,-0.0304,55.814037,37.500313,219.4777,0.0878,881
-0.062251,-0.057463,9.75667,0.004843,-0.029901,0.109896,-2.34,-14.82,-51,176.0647,0.1736,-0.0304,55.814037,37.500313,219.4777,0.0878,891
0.131685,-0.055068,9.929058,-0.003098,0.003086,0.106231,-2.34,-14.82,-51,176.0647,0.1736,-0.0304,55.814037,37.500313,219.4777,0.0878,901
0.131685,-0.055068,9.929058,-0.003098,-0.001801,0.106842,-2.52,-15,-50.16,168.9024,0.1576,-0.0353,55.814037,37.500313,219.4777,0.0878,911
0.10056,-0.014366,9.737515,-0.001877,-0.012186,0.101344,-2.52,-15,-50.16,168.9024,0.1576,-0.0353,55.814037,37.500313,219.4777,0.0878,920
0.064645,0.045491,9.862018,-4.4E-05,0.00614,0.102566,-2.4,-14.4,-49.44,168.9024,0.1576,-0.0353,55.814037,37.500313,219.4777,0.0878,930
0.026337,0.009577,9.79019,0.003621,0.001864,0.103787,-2.4,-14.4,-49.44,168.9024,0.1576,-0.0353,55.814037,37.500313,219.4777,0.0878,941
0.026337,0.009577,9.79019,0.002399,-0.011575,0.105009,-1.8,-14.34,-49.44,172.0699,0.1697,-0.0346,55.814037,37.500313,219.4777,0.0878,951
-0.019154,-0.055068,9.761458,-0.001266,0.001253,0.104398,-1.8,-14.34,-49.44,172.0699,0.1697,-0.0346,55.814037,37.500313,219.4777,0.0878,961
-0.014366,-0.043097,9.845258,-0.001877,-0.009131,0.10562,-1.62,-14.64,-48.96,172.0699,0.1697,-0.0346,55.814037,37.500313,219.2891,0.0011,970
0.059857,-0.057463,9.833286,-0.003709,-0.006688,0.106842,-2.1,-14.4,-49.08,172.0699,0.1697,-0.0346,55.814037,37.500313,219.2891,0.0011,980
0.059857,-0.057463,9.833286,0.000567,0.000643,0.106842,-2.1,-14.4,-49.08,172.0699,0.1697,-0.0346,55.814037,37.500313,219.2891,0.0011,990
0.03352,0.069434,9.77343,0.00301,-0.00852,0.103176,-2.28,-14.4,-50.04,172.1768,0.1464,-0.0675,55.814037,37.500313,219.2891,0.0011,1000
0.198725,-0.019154,9.816526,-0.003098,-0.011575,0.090348,-2.28,-14.4,-50.04,172.1768,0.1464,-0.0675,55.814037,37.500313,219.2891,0.0011,1011
0.289707,-0.10056,9.816526,-0.008596,-0.010964,0.081185,-2.04,-13.92,-49.74,172.1768,0.1464,-0.0675,55.814037,37.500313,219.2891,0.0011,1021
0.289707,-0.10056,9.816526,-0.006763,0.012249,0.074466,-2.4,-13.92,-49.44,172.1768,0.1464,-0.0675,55.814037,37.500313,219.2891,0.0011,1031
0.155628,-0.05028,9.931452,-0.006763,0.012249,0.074466,-2.4,-13.92,-49.44,172.1768,0.1464,-0.0675,55.814037,37.500313,219.2891,0.0011,1040
-0.122108,-0.028731,9.814133,0.00301,0.010416,0.072633,-2.34,-14.52,-49.62,173.0754,0.1133,-0.1905,55.814037,37.500313,219.2891,0.0011,1050
-0.081405,-0.05028,9.823709,0.010341,-0.003633,0.075077,-2.22,-14.76,-49.86,173.0754,0.1133,-0.1905,55.814037,37.500313,219.2891,0.0011,1061
-0.081405,-0.05028,9.823709,0.012173,-0.002412,0.07752,-2.22,-14.76,-49.86,173.0754,0.1133,-0.1905,55.814037,37.500313,219.2891,0.0011,1070
0.081405,-0.019154,9.838076,0.009119,-0.003633,0.07752,-2.1,-14.46,-50.82,173.0754,0.1133,-0.1905,55.814037,37.500313,219.2891,0.0011,1081
0.148445,0.069434,9.751882,-0.001877,-0.006077,0.075687,-2.1,-14.46,-50.82,173.0754,0.1133,-0.1905,55.814037,37.500313,219.2891,0.0011,1091
0.138868,0.06704,9.799767,-0.006153,-0.002412,0.073855,-2.1,-14.16,-50.28,172.9963,0.0898,-0.3099,55.814037,37.500313,219.2891,0.0011,1100
0.138868,0.06704,9.799767,-0.009207,0.00614,0.081185,-2.1,-14.16,-50.28,172.9963,0.0898,-0.3099,55.814037,37.500313,219.2891,0.0011,1111
-0.110137,-0.002394,9.897932,-0.001266,0.019579,0.096457,-2.1,-14.34,-49.74,172.9963,0.0898,-0.3099,55.814037,37.500313,219.2891,0.0011,1121
-0.462095,-0.177176,9.780613,-0.002487,0.004919,0.116005,-2.1,-14.34,-49.74,172.9963,0.0898,-0.3099,55.814037,37.500313,219.2891,0.0011,1131
-0.466884,-0.167599,9.842864,-4.4E-05,-0.003633,0.141661,-2.04,-14.16,-49.74,173.0529,0.0586,-0.3299,55.814037,37.500313,219.2891,0.0011,1140
-0.318439,-0.122108,9.869201,0.004843,-0.00852,0.170372,-2.04,-14.16,-49.74,173.0529,0.0586,-0.3299,55.814037,37.500313,219.2891,0.0011,1151
-0.318439,-0.122108,9.869201,0.001178,-0.00852,0.193584,-1.56,-14.22,-49.56,173.0529,0.0586,-0.3299,55.814037,37.500313,219.2891,0.0011,1161
-0.251399,-0.052674,9.840469,0.002399,-0.011575,0.214965,-1.56,-14.22,-49.56,173.0529,0.0586,-0.3299,55.814037,37.500313,219.2891,0.0011,1170
-0.294496,-0.031126,9.835681,-0.001266,-0.003633,0.250395,-1.32,-14.46,-49.62,175.9256,0.1233,0.0056,55.814037,37.500313,219.2891,0.0011,1181
-0.294496,-0.031126,9.835681,-0.001266,-0.003633,0.250395,-1.32,-14.46,-49.62,175.9256,0.1233,0.0056,55.814037,37.500313,219.2891,0.0011,1190
-0.344776,-0.052674,9.780613,-0.002487,-0.007299,0.279716,-1.74,-14.76,-49.14,175.9256,0.1233,0.0056,55.814037,37.500313,219.2891,0.0011,1201
-0.244216,-0.172388,9.828498,-0.007374,-0.016462,0.299875,-2.22,-14.94,-48.72,175.9256,0.1233,0.0056,55.814037,37.500313,219.2891,0.0011,1212
-0.031126,-0.184359,9.888355,-0.008596,-0.017072,0.313925,-2.22,-14.94,-48.72,175.9256,0.1233,0.0056,55.814037,37.500313,219.2891,0.0011,1221
0.026337,-0.045491,9.878778,-0.003098,-0.014629,0.31759,-2.04,-15,-49.62,172.4624,0.1242,-0.001,55.814037,37.500313,219.2891,0.0011,1231
0.026337,-0.045491,9.878778,0.016449,-0.007299,0.323699,-2.04,-15,-49.62,172.4624,0.1242,-0.001,55.814037,37.500313,219.2891,0.0011,1240
0.102954,0.043097,9.854836,0.018282,-0.004855,0.321255,-1.8,-14.94,-49.98,172.4624,0.1242,-0.001,55.814037,37.500313,219.2891,0.0011,1250
0.052674,0.05028,9.778218,0.014617,0.002475,0.328586,-1.8,-14.94,-49.98,172.4624,0.1242,-0.001,55.814037,37.500313,219.2891,0.0011,1260
-0.10056,-0.01676,9.744699,-0.001877,-0.004244,0.335916,-2.34,-14.88,-49.2,172.5536,0.1174,-0.0308,55.814037,37.500313,219.2891,0.0011,1271
-0.203513,-0.138868,9.842864,-0.017759,-0.010964,0.351799,-2.58,-14.7,-49.2,172.5536,0.1174,-0.0308,55.814037,37.500313,219.2891,0.0011,1280
-0.203513,-0.138868,9.842864,-0.017759,-0.010964,0.351799,-2.58,-14.7,-49.2,172.5536,0.1174,-0.0308,55.814037,37.500313,219.2891,0.0011,1291
-0.225062,-0.160416,9.876384,-0.017759,-0.014018,0.365848,-2.46,-14.88,-49.2,172.5536,0.1174,-0.0308,55.814037,37.500313,219.2891,0.0011,1300
-0.179571,-0.086194,9.945818,-0.000655,-0.014629,0.381731,-2.46,-14.88,-49.2,172.5536,0.1174,-0.0308,55.814037,37.500313,219.2891,0.0011,1311
-0.174782,-0.035914,9.857229,0.01706,-0.004244,0.398835,-1.98,-14.76,-49.98,172.587,0.1275,-0.0389,55.814037,37.500313,219.2891,0.0011,1321
-0.174782,-0.035914,9.857229,0.021336,-0.007909,0.418383,-1.98,-14.76,-49.98,172.587,0.1275,-0.0389,55.814037,37.500313,219.2891,0.0011,1330
-0.110137,-0.038308,9.761458,0.010952,-0.014018,0.433044,-1.8,-15.06,-49.8,172.587,0.1275,-0.0389,55.814037,37.500313,219.2891,0.0011,1341
-0.172388,-0.086194,9.783007,-0.004931,-0.009131,0.449537,-1.8,-15.06,-49.8,172.587,0.1275,-0.0389,55.814037,37.500313,219.2891,0.0011,1351
-0.210696,-0.124502,9.835681,-0.021424,-0.015851,0.467863,-1.8,-14.88,-49.2,172.619,0.1089,-0.0524,55.814037,37.500313,219.2891,0.0011,1361
-0.191542,-0.107742,9.873989,-0.019592,-0.021349,0.482524,-1.8,-14.88,-49.2,172.619,0.1089,-0.0524,55.814037,37.500313,219.2891,0.0011,1371
-0.191542,-0.107742,9.873989,-0.004931,-0.012186,0.497795,-1.38,-14.88,-49.32,172.619,0.1089,-0.0524,55.814037,37.500313,219.2891,0.0011,1380
-0.117319,-0.102954,9.912297,0.012173,-0.012186,0.511845,-1.38,-14.88,-49.32,172.619,0.1089,-0.0524,55.814037,37.500313,219.2891,0.0011,1390
-0.098165,-0.10056,9.854836,0.014617,-0.012796,0.521619,-1.2,-15.06,-49.68,176.4798,0.1322,-0.0804,55.814037,37.500313,219.2891,0.0011,1401
-0.019154,-0.141262,9.80695,0.010952,-0.018294,0.531393,-1.2,-15.06,-49.68,176.4798,0.1322,-0.0804,55.814037,37.500313,219.2891,0.0011,1412
0,-0.088588,9.814133,0.010952,-0.018294,0.531393,-2.34,-15.6,-50.04,176.4798,0.1322,-0.0804,55.814037,37.500313,219.2891,0.0011,1420
0,-0.088588,9.814133,-0.004931,-0.012186,0.540556,-2.34,-15.6,-50.04,176.4798,0.1322,-0.0804,55.814037,37.500313,219.2891,0.0011,1430
-0.062251,-0.045491,9.838076,-0.012872,-0.009131,0.547275,-2.88,-15.6,-49.8,169.772,0.1222,-0.1075,55.814037,37.500313,219.2891,0.0011,1441
-0.131685,-0.076617,9.857229,-0.010429,-0.014018,0.554606,-2.88,-15.6,-49.8,169.772,0.1222,-0.1075,55.814037,37.500313,219.2891,0.0011,1451
-0.165205,-0.114925,9.881172,0.001178,-0.013407,0.57843,-2.82,-14.88,-49.74,169.772,0.1222,-0.1075,55.814037,37.500313,219.2891,0.0011,1460
-0.165205,-0.114925,9.881172,0.007286,-0.009742,0.591869,-2.82,-14.88,-49.74,169.772,0.1222,-0.1075,55.814037,37.500313,219.2891,0.0011,1471
-0.210696,-0.169993,9.850046,0.005454,-0.014018,0.612027,-2.52,-15.48,-50.1,169.2037,0.1375,-0.1338,55.814037,37.500313,219.2891,0.0011,1480
-0.191542,-0.160416,9.821315,0.005454,-0.014018,0.612027,-2.52,-15.48,-50.1,169.2037,0.1375,-0.1338,55.814037,37.500313,219.2891,0.0011,1491
-0.143656,-0.122108,9.840469,0.000567,-0.02257,0.637683,-2.34,-15.18,-49.8,169.2037,0.1375,-0.1338,55.814037,37.500313,219.2891,0.0011,1501
-0.0838,-0.112531,9.826104,-0.00432,-0.021349,0.653566,-2.34,-15.18,-49.8,169.2037,0.1375,-0.1338,55.814037,37.500313,219.2891,0.0011,1510
-0.0838,-0.112531,9.826104,-0.003098,-0.020127,0.664562,-2.64,-15.24,-49.14,169.287,0.1322,-0.1646,55.814037,37.500313,219.2891,0.0011,1521
0.007183,-0.102954,9.845258,-0.001877,-0.021959,0.673725,-2.64,-15.24,-49.14,169.287,0.1322,-0.1646,55.814037,37.500313,219.2891,0.0011,1531
0.047885,-0.102954,9.845258,0.001178,-0.014629,0.680444,-2.4,-15.54,-49.08,169.287,0.1322,-0.1646,55.814037,37.500313,219.2891,0.0011,1540
0.007183,-0.114925,9.833286,-0.001266,-0.016462,0.688385,-2.4,-15.54,-49.08,169.287,0.1322,-0.1646,55.814037,37.500313,219.2891,0.0011,1551
0.059857,-0.162811,9.854836,0.000567,-0.016462,0.69144,-2.1,-14.94,-49.44,173.1277,0.1415,-0.2076,55.814037,37.500313,219.2891,0.0011,1560
0.059857,-0.162811,9.854836,-0.01837,-0.026846,0.685942,-2.1,-14.94,-49.44,173.1277,0.1415,-0.2076,55.814037,37.500313,219.2891,0.0011,1571
0.318439,0.086194,11.60505,-0.01837,-0.026846,0.685942,-2.7,-15.72,-49.8,173.1277,0.1415,-0.2076,55.814037,37.500313,219.2891,0.0011,1580
0.126897,-0.143656,8.648121,0.002399,0.174739,0.637683,-2.7,-15.72,-49.8,173.1277,0.1415,-0.2076,55.814037,37.500313,219.2891,0.0011,1591
-0.418998,0.256187,10.735929,0.067762,-0.103204,0.632186,-3.48,-15.48,-50.04,169.6803,0.1529,-0.28,55.814037,37.500313,219.2891,0.0011,1600
-0.725465,0.086194,9.27542,0.071427,0.061729,0.674946,-3.48,-15.48,-50.04,169.6803,0.1529,-0.28,55.814037,37.500313,219.2891,0.0011,1613
